ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
33-045-020-784492,0.00078,0.0,Low,Ownership / Title,0.7908,v2026-08-23T20-17-06
33-031-014-681066,0.98724,1.0,High,Legal Dispute,0.9472,v2026-08-23T20-17-06
27-037-002-254678,0.00025,0.0,Low,Compensation Disbursal,0.3555,v2026-08-23T20-17-06
36-019-015-521734,0.04211,0.14286,Low,Administrative Approval,0.5787,v2026-08-23T20-17-06
21-026-001-457850,0.39648,0.35484,Low,Compensation Disbursal,0.5447,v2026-08-23T20-17-06
22-009-015-710252,0.02298,0.06897,Low,Compensation Disbursal,0.6741,v2026-08-23T20-17-06
21-019-001-187413,0.94698,0.86792,High,Compensation Disbursal,0.8486,v2026-08-23T20-17-06
33-045-014-879637,0.12267,0.21622,Low,Legal Dispute,0.3726,v2026-08-23T20-17-06
27-001-023-118983,0.23479,0.29032,Low,Legal Dispute,0.9864,v2026-08-23T20-17-06
33-031-008-004122,0.64375,0.66667,Medium,Ownership / Title,0.6449,v2026-08-23T20-17-06
29-018-002-309194,0.72447,0.66667,Medium,Legal Dispute,0.8289,v2026-08-23T20-17-06
22-002-018-182753,0.14266,0.21622,Low,Administrative Approval,0.6079,v2026-08-23T20-17-06
29-022-023-805781,0.64322,0.66667,Medium,Compensation Disbursal,0.4781,v2026-08-23T20-17-06
36-027-009-512307,0.70536,0.66667,Medium,Legal Dispute,0.7993,v2026-08-23T20-17-06
22-018-014-152454,0.99448,1.0,High,Compensation Disbursal,0.6234,v2026-08-23T20-17-06
36-003-001-892924,0.02504,0.06897,Low,Administrative Approval,0.6224,v2026-08-23T20-17-06
22-002-014-968638,0.90501,0.86792,High,Administrative Approval,0.8299,v2026-08-23T20-17-06
09-002-007-366292,0.74183,0.66679,Medium,Legal Dispute,0.7026,v2026-08-23T20-17-06
36-011-023-761008,0.55692,0.4,Low,Legal Dispute,0.6062,v2026-08-23T20-17-06
09-044-012-825329,0.84671,0.71795,High,Compensation Disbursal,0.9633,v2026-08-23T20-17-06
22-014-012-813733,0.50535,0.4,Low,Legal Dispute,0.3761,v2026-08-23T20-17-06
29-022-022-522533,0.99906,1.0,High,Ownership / Title,0.9645,v2026-08-23T20-17-06
36-003-001-808075,0.00064,0.0,Low,Administrative Approval,0.3206,v2026-08-23T20-17-06
21-005-022-175155,0.13776,0.21622,Low,Compensation Disbursal,0.7874,v2026-08-23T20-17-06
27-013-008-236445,0.2424,0.29032,Low,Compensation Disbursal,0.4534,v2026-08-23T20-17-06
09-044-008-926898,0.00294,0.0,Low,Compensation Disbursal,0.5855,v2026-08-23T20-17-06
29-022-009-232014,0.61233,0.66667,Medium,Ownership / Title,0.6608,v2026-08-23T20-17-06
21-012-017-655235,0.94055,0.86792,High,Ownership / Title,0.5691,v2026-08-23T20-17-06
33-014-022-104665,0.00179,0.0,Low,Administrative Approval,0.9245,v2026-08-23T20-17-06
33-045-003-904905,0.01332,0.06667,Low,Administrative Approval,0.4961,v2026-08-23T20-17-06
09-002-012-069721,0.03748,0.14286,Low,Compensation Disbursal,0.9085,v2026-08-23T20-17-06
27-025-022-382533,0.98736,1.0,High,Legal Dispute,0.9609,v2026-08-23T20-17-06
29-018-016-842919,0.30587,0.35484,Low,Legal Dispute,0.4981,v2026-08-23T20-17-06
09-031-012-013572,0.00102,0.0,Low,Administrative Approval,0.4973,v2026-08-23T20-17-06
21-005-008-420826,0.15349,0.21622,Low,Legal Dispute,0.9167,v2026-08-23T20-17-06
29-022-015-841838,0.18664,0.21622,Low,Legal Dispute,0.674,v2026-08-23T20-17-06
33-031-021-185290,0.00042,0.0,Low,Administrative Approval,0.5097,v2026-08-23T20-17-06
23-033-003-670128,0.90918,0.86792,High,Legal Dispute,0.9901,v2026-08-23T20-17-06
21-019-013-773037,0.03049,0.14286,Low,Administrative Approval,0.8647,v2026-08-23T20-17-06
33-014-007-313313,0.99767,1.0,High,Ownership / Title,0.9786,v2026-08-23T20-17-06
27-037-024-289386,0.69207,0.66667,Medium,Administrative Approval,0.6034,v2026-08-23T20-17-06
09-031-003-212773,0.00791,0.0,Low,Administrative Approval,0.5865,v2026-08-23T20-17-06
33-014-019-969365,0.00216,0.0,Low,Compensation Disbursal,0.8665,v2026-08-23T20-17-06
22-009-007-960071,0.01084,0.06667,Low,Rehabilitation (R&R),0.7722,v2026-08-23T20-17-06
21-019-018-312999,0.967,1.0,High,Legal Dispute,0.9724,v2026-08-23T20-17-06
09-044-010-399385,0.00608,0.0,Low,Administrative Approval,0.5488,v2026-08-23T20-17-06
21-026-023-607277,0.33908,0.35484,Low,Administrative Approval,0.962,v2026-08-23T20-17-06
09-044-014-664609,0.70978,0.66667,Medium,Legal Dispute,0.6401,v2026-08-23T20-17-06
21-005-022-199357,0.00297,0.0,Low,Compensation Disbursal,0.798,v2026-08-23T20-17-06
09-044-003-334004,0.90941,0.86792,High,Rehabilitation (R&R),0.901,v2026-08-23T20-17-06
29-009-010-091248,0.4409,0.4,Low,Legal Dispute,0.4416,v2026-08-23T20-17-06
33-031-001-161337,0.03488,0.14286,Low,Rehabilitation (R&R),0.4262,v2026-08-23T20-17-06
22-014-008-482155,0.01473,0.06667,Low,Compensation Disbursal,0.8971,v2026-08-23T20-17-06
22-018-003-316142,0.00373,0.0,Low,Administrative Approval,0.7995,v2026-08-23T20-17-06
23-016-010-298309,0.96518,0.9,High,Legal Dispute,0.9741,v2026-08-23T20-17-06
33-014-023-215297,0.99779,1.0,High,Legal Dispute,0.7542,v2026-08-23T20-17-06
23-033-005-677236,0.05776,0.14286,Low,Rehabilitation (R&R),0.6331,v2026-08-23T20-17-06
36-003-005-162453,0.9778,1.0,High,Compensation Disbursal,0.954,v2026-08-23T20-17-06
09-031-018-325979,0.2727,0.29032,Low,Compensation Disbursal,0.609,v2026-08-23T20-17-06
21-019-016-998853,0.13821,0.21622,Low,Compensation Disbursal,0.9123,v2026-08-23T20-17-06
27-013-012-943884,0.99924,1.0,High,Legal Dispute,0.8484,v2026-08-23T20-17-06
36-019-009-348048,0.02576,0.06897,Low,Rehabilitation (R&R),0.972,v2026-08-23T20-17-06
29-018-019-080916,0.86618,0.71795,High,Compensation Disbursal,0.9968,v2026-08-23T20-17-06
09-031-019-872573,0.9621,0.9,High,Legal Dispute,0.8638,v2026-08-23T20-17-06
36-019-019-395879,0.0083,0.0,Low,Rehabilitation (R&R),0.6408,v2026-08-23T20-17-06
21-005-024-424589,0.99548,1.0,High,Ownership / Title,0.993,v2026-08-23T20-17-06
21-026-006-273094,0.9809,1.0,High,Administrative Approval,0.8991,v2026-08-23T20-17-06
09-031-023-654734,0.70533,0.66667,Medium,Ownership / Title,0.7294,v2026-08-23T20-17-06
36-019-009-327811,0.46444,0.4,Low,Administrative Approval,0.6449,v2026-08-23T20-17-06
23-016-002-431793,0.17434,0.21622,Low,Compensation Disbursal,0.8897,v2026-08-23T20-17-06
09-044-017-935530,0.63531,0.66667,Medium,Ownership / Title,0.9506,v2026-08-23T20-17-06
29-007-017-378427,0.08189,0.14286,Low,Administrative Approval,0.8508,v2026-08-23T20-17-06
22-018-009-028179,0.02462,0.06897,Low,Compensation Disbursal,0.5324,v2026-08-23T20-17-06
33-031-011-156622,0.38615,0.35484,Low,Ownership / Title,0.9573,v2026-08-23T20-17-06
22-009-001-772885,0.77981,0.71795,High,Rehabilitation (R&R),0.7659,v2026-08-23T20-17-06
33-031-004-898735,0.00226,0.0,Low,Administrative Approval,0.7112,v2026-08-23T20-17-06
27-037-005-386916,0.2638,0.29032,Low,Legal Dispute,0.7159,v2026-08-23T20-17-06
33-031-012-725380,0.08655,0.2,Low,Compensation Disbursal,0.5573,v2026-08-23T20-17-06
29-007-004-408639,0.98639,1.0,High,Compensation Disbursal,0.6977,v2026-08-23T20-17-06
23-028-003-670909,0.36481,0.35484,Low,Compensation Disbursal,0.896,v2026-08-23T20-17-06
36-027-011-634969,0.00726,0.0,Low,Administrative Approval,0.5022,v2026-08-23T20-17-06
23-016-021-062988,0.01458,0.06667,Low,Compensation Disbursal,0.7249,v2026-08-23T20-17-06
21-026-019-308724,0.0587,0.14286,Low,Compensation Disbursal,0.6183,v2026-08-23T20-17-06
23-016-018-510973,0.03387,0.14286,Low,Compensation Disbursal,0.9309,v2026-08-23T20-17-06
29-022-007-695968,0.01427,0.06667,Low,Administrative Approval,0.5825,v2026-08-23T20-17-06
21-012-014-065558,0.98439,1.0,High,Legal Dispute,0.8411,v2026-08-23T20-17-06
29-007-006-208822,0.80567,0.71795,High,Compensation Disbursal,0.8003,v2026-08-23T20-17-06
27-037-016-583331,0.00286,0.0,Low,Compensation Disbursal,0.6862,v2026-08-23T20-17-06
33-045-013-795946,0.99098,1.0,High,Legal Dispute,0.7427,v2026-08-23T20-17-06
09-044-020-626400,0.89999,0.86792,High,Compensation Disbursal,0.5524,v2026-08-23T20-17-06
22-018-006-970351,0.80263,0.71795,High,Ownership / Title,0.9879,v2026-08-23T20-17-06
36-003-012-548101,0.60263,0.66667,Medium,Compensation Disbursal,0.8907,v2026-08-23T20-17-06
21-026-001-694145,0.01366,0.06667,Low,Administrative Approval,0.5673,v2026-08-23T20-17-06
33-031-016-649876,0.93572,0.86792,High,Compensation Disbursal,0.9681,v2026-08-23T20-17-06
27-037-006-611238,0.98397,1.0,High,Ownership / Title,0.8558,v2026-08-23T20-17-06
23-016-010-263519,0.94762,0.86792,High,Ownership / Title,0.7545,v2026-08-23T20-17-06
23-004-011-299727,0.19496,0.24158,Low,Legal Dispute,0.5505,v2026-08-23T20-17-06
21-005-009-683504,0.71834,0.66667,Medium,Legal Dispute,0.9475,v2026-08-23T20-17-06
29-009-020-506475,0.94372,0.86792,High,Legal Dispute,0.9001,v2026-08-23T20-17-06
09-044-023-942817,0.00578,0.0,Low,Administrative Approval,0.8392,v2026-08-23T20-17-06
36-019-010-992795,0.98289,1.0,High,Ownership / Title,0.9981,v2026-08-23T20-17-06
09-031-020-450629,0.26364,0.29032,Low,Rehabilitation (R&R),0.9323,v2026-08-23T20-17-06
23-016-022-297348,0.29717,0.35484,Low,Compensation Disbursal,0.959,v2026-08-23T20-17-06
36-027-002-466005,0.58026,0.66667,Medium,Legal Dispute,0.5834,v2026-08-23T20-17-06
21-019-023-451112,0.04804,0.14286,Low,Administrative Approval,0.9626,v2026-08-23T20-17-06
29-022-016-773029,0.9602,0.88889,High,Legal Dispute,0.9619,v2026-08-23T20-17-06
29-009-010-464509,0.82591,0.71795,High,Administrative Approval,0.8136,v2026-08-23T20-17-06
09-015-005-629643,0.9912,1.0,High,Administrative Approval,0.6086,v2026-08-23T20-17-06
21-005-011-147025,0.7749,0.71795,High,Rehabilitation (R&R),0.6214,v2026-08-23T20-17-06
09-015-015-268798,0.0323,0.14286,Low,Compensation Disbursal,0.4406,v2026-08-23T20-17-06
23-033-011-737585,0.23446,0.29032,Low,Compensation Disbursal,0.6387,v2026-08-23T20-17-06
36-011-012-562616,0.00709,0.0,Low,Administrative Approval,0.7572,v2026-08-23T20-17-06
09-015-018-258288,0.99628,1.0,High,Ownership / Title,0.9875,v2026-08-23T20-17-06
36-027-010-336564,0.40526,0.35484,Low,Rehabilitation (R&R),0.6848,v2026-08-23T20-17-06
33-014-014-486337,0.00091,0.0,Low,Rehabilitation (R&R),0.9559,v2026-08-23T20-17-06
36-011-002-604648,0.81339,0.71795,High,Legal Dispute,0.9985,v2026-08-23T20-17-06
33-045-007-583204,0.00434,0.0,Low,Administrative Approval,0.4308,v2026-08-23T20-17-06
22-018-015-281782,0.01767,0.06897,Low,Rehabilitation (R&R),0.9797,v2026-08-23T20-17-06
23-004-009-955041,0.94836,0.86792,High,Legal Dispute,0.5787,v2026-08-23T20-17-06
29-022-024-163578,0.48339,0.4,Low,Legal Dispute,0.743,v2026-08-23T20-17-06
23-004-021-604729,0.07281,0.14286,Low,Compensation Disbursal,0.3987,v2026-08-23T20-17-06
36-011-008-403302,0.00068,0.0,Low,Compensation Disbursal,0.3262,v2026-08-23T20-17-06
23-033-004-337896,0.63508,0.66667,Medium,Rehabilitation (R&R),0.7606,v2026-08-23T20-17-06
33-014-015-277839,0.0275,0.125,Low,Administrative Approval,0.8502,v2026-08-23T20-17-06
33-045-005-622277,0.15223,0.21622,Low,Administrative Approval,0.5105,v2026-08-23T20-17-06
33-014-004-600270,0.90116,0.86792,High,Ownership / Title,0.8142,v2026-08-23T20-17-06
33-045-006-087077,0.00036,0.0,Low,Administrative Approval,0.5078,v2026-08-23T20-17-06
33-031-005-708302,0.00075,0.0,Low,Administrative Approval,0.7237,v2026-08-23T20-17-06
33-023-023-868422,0.06447,0.14286,Low,Compensation Disbursal,0.4896,v2026-08-23T20-17-06
21-012-016-573987,0.00564,0.0,Low,Compensation Disbursal,0.4842,v2026-08-23T20-17-06
27-001-013-421750,0.65017,0.66667,Medium,Rehabilitation (R&R),0.7584,v2026-08-23T20-17-06
23-004-013-037075,0.04433,0.14286,Low,Legal Dispute,0.8147,v2026-08-23T20-17-06
09-044-006-085636,0.17246,0.21622,Low,Administrative Approval,0.7575,v2026-08-23T20-17-06
22-014-013-660569,0.23219,0.29032,Low,Rehabilitation (R&R),0.934,v2026-08-23T20-17-06
22-002-016-709031,0.01379,0.06667,Low,Legal Dispute,0.9482,v2026-08-23T20-17-06
27-037-015-915936,0.96607,0.94061,High,Compensation Disbursal,0.4591,v2026-08-23T20-17-06
33-045-015-960454,0.13546,0.21622,Low,Rehabilitation (R&R),0.961,v2026-08-23T20-17-06
09-031-024-799118,0.00881,0.0,Low,Compensation Disbursal,0.6395,v2026-08-23T20-17-06
23-004-013-849153,0.04628,0.14286,Low,Compensation Disbursal,0.6333,v2026-08-23T20-17-06
33-031-011-842506,0.9399,0.86792,High,Ownership / Title,0.9904,v2026-08-23T20-17-06
09-044-011-678937,0.00945,0.0,Low,Administrative Approval,0.5647,v2026-08-23T20-17-06
22-002-022-348266,0.70451,0.66667,Medium,Ownership / Title,0.9734,v2026-08-23T20-17-06
21-026-004-937999,0.99547,1.0,High,Ownership / Title,0.9963,v2026-08-23T20-17-06
09-002-009-306050,0.00246,0.0,Low,Legal Dispute,0.7738,v2026-08-23T20-17-06
36-019-012-013398,0.03355,0.14286,Low,Administrative Approval,0.6519,v2026-08-23T20-17-06
22-014-003-019606,0.95359,0.88889,High,Legal Dispute,0.9648,v2026-08-23T20-17-06
21-026-009-098076,0.99823,1.0,High,Legal Dispute,0.8211,v2026-08-23T20-17-06
29-022-018-313731,0.08534,0.2,Low,Compensation Disbursal,0.9437,v2026-08-23T20-17-06
29-022-003-480081,0.99875,1.0,High,Legal Dispute,0.5403,v2026-08-23T20-17-06
36-027-006-854589,0.86911,0.81615,High,Compensation Disbursal,0.6796,v2026-08-23T20-17-06
33-023-009-186086,0.21246,0.29032,Low,Administrative Approval,0.7699,v2026-08-23T20-17-06
21-026-015-050123,0.00269,0.0,Low,Administrative Approval,0.5636,v2026-08-23T20-17-06
33-014-001-688634,0.35497,0.35484,Low,Rehabilitation (R&R),0.8763,v2026-08-23T20-17-06
36-027-021-927366,0.02206,0.06897,Low,Administrative Approval,0.7125,v2026-08-23T20-17-06
36-027-012-620266,0.02938,0.125,Low,Administrative Approval,0.4941,v2026-08-23T20-17-06
33-045-007-735680,0.10147,0.2,Low,Ownership / Title,0.5363,v2026-08-23T20-17-06
22-002-024-084926,0.00541,0.0,Low,Compensation Disbursal,0.4928,v2026-08-23T20-17-06
33-031-024-214066,0.32728,0.35484,Low,Administrative Approval,0.8052,v2026-08-23T20-17-06
29-022-018-697458,0.81124,0.71795,High,Ownership / Title,0.9983,v2026-08-23T20-17-06
27-037-015-638180,0.12901,0.21622,Low,Legal Dispute,0.596,v2026-08-23T20-17-06
09-015-020-941039,0.04757,0.14286,Low,Administrative Approval,0.4678,v2026-08-23T20-17-06
22-009-013-481454,0.99941,1.0,High,Compensation Disbursal,0.3493,v2026-08-23T20-17-06
29-022-004-788633,0.84068,0.71795,High,Administrative Approval,0.4875,v2026-08-23T20-17-06
33-045-011-531102,0.95552,0.88889,High,Legal Dispute,0.8738,v2026-08-23T20-17-06
29-009-022-214448,0.47963,0.4,Low,Ownership / Title,0.9552,v2026-08-23T20-17-06
21-012-024-199195,0.061,0.14286,Low,Administrative Approval,0.9619,v2026-08-23T20-17-06
22-002-019-299770,0.29822,0.35484,Low,Legal Dispute,0.65,v2026-08-23T20-17-06
29-009-019-414479,0.18056,0.21622,Low,Rehabilitation (R&R),0.3494,v2026-08-23T20-17-06
27-037-024-592138,0.45474,0.4,Low,Administrative Approval,0.9561,v2026-08-23T20-17-06
09-031-016-995048,0.41591,0.36531,Low,Administrative Approval,0.516,v2026-08-23T20-17-06
27-001-015-405987,0.83144,0.71795,High,Legal Dispute,0.9804,v2026-08-23T20-17-06
36-027-010-986859,0.03301,0.14286,Low,Administrative Approval,0.8478,v2026-08-23T20-17-06
23-033-020-797383,0.00416,0.0,Low,Administrative Approval,0.622,v2026-08-23T20-17-06
22-002-010-708428,0.02907,0.125,Low,Rehabilitation (R&R),0.9194,v2026-08-23T20-17-06
36-027-013-314456,0.01403,0.06667,Low,Legal Dispute,0.5361,v2026-08-23T20-17-06
23-028-006-699935,0.99409,1.0,High,Legal Dispute,0.9752,v2026-08-23T20-17-06
29-009-006-314592,0.10385,0.2,Low,Rehabilitation (R&R),0.6303,v2026-08-23T20-17-06
36-019-011-773030,0.05786,0.14286,Low,Compensation Disbursal,0.7062,v2026-08-23T20-17-06
36-019-018-438600,0.97787,1.0,High,Compensation Disbursal,0.9873,v2026-08-23T20-17-06
33-045-023-585144,0.98835,1.0,High,Legal Dispute,0.9858,v2026-08-23T20-17-06
29-022-023-972424,0.04837,0.14286,Low,Administrative Approval,0.8045,v2026-08-23T20-17-06
23-028-018-479015,0.0003,0.0,Low,Compensation Disbursal,0.3174,v2026-08-23T20-17-06
09-031-006-348412,0.83993,0.71795,High,Compensation Disbursal,0.9107,v2026-08-23T20-17-06
33-031-016-364585,0.54232,0.4,Low,Administrative Approval,0.9304,v2026-08-23T20-17-06
36-019-005-718976,0.69413,0.66667,Medium,Compensation Disbursal,0.528,v2026-08-23T20-17-06
09-044-002-147956,0.02829,0.125,Low,Compensation Disbursal,0.6526,v2026-08-23T20-17-06
27-013-004-547768,0.05636,0.14286,Low,Compensation Disbursal,0.4044,v2026-08-23T20-17-06
09-031-014-618305,0.78811,0.71795,High,Administrative Approval,0.5972,v2026-08-23T20-17-06
22-009-013-311291,0.99367,1.0,High,Legal Dispute,0.8806,v2026-08-23T20-17-06
27-001-022-863752,0.75961,0.71795,High,Legal Dispute,0.9754,v2026-08-23T20-17-06
23-033-018-663495,0.37914,0.35484,Low,Administrative Approval,0.8312,v2026-08-23T20-17-06
27-037-017-162212,0.00051,0.0,Low,Administrative Approval,0.5834,v2026-08-23T20-17-06
36-019-019-740318,0.1572,0.21622,Low,Rehabilitation (R&R),0.5704,v2026-08-23T20-17-06
27-025-019-655829,0.66724,0.66667,Medium,Compensation Disbursal,0.9892,v2026-08-23T20-17-06
33-031-022-233231,0.01079,0.06667,Low,Compensation Disbursal,0.9331,v2026-08-23T20-17-06
21-012-011-872921,0.23326,0.29032,Low,Compensation Disbursal,0.7184,v2026-08-23T20-17-06
36-003-019-631474,0.11623,0.21622,Low,Compensation Disbursal,0.6458,v2026-08-23T20-17-06
27-001-016-928452,0.56343,0.4,Low,Compensation Disbursal,0.5113,v2026-08-23T20-17-06
29-022-006-554201,0.98337,1.0,High,Rehabilitation (R&R),0.5611,v2026-08-23T20-17-06
09-015-018-017810,0.99005,1.0,High,Compensation Disbursal,0.3079,v2026-08-23T20-17-06
29-018-014-922306,0.15699,0.21622,Low,Administrative Approval,0.6919,v2026-08-23T20-17-06
29-018-021-168743,0.32251,0.35484,Low,Rehabilitation (R&R),0.8324,v2026-08-23T20-17-06
36-003-022-552861,0.33132,0.35484,Low,Rehabilitation (R&R),0.4864,v2026-08-23T20-17-06
36-027-006-486547,0.00106,0.0,Low,Administrative Approval,0.4714,v2026-08-23T20-17-06
27-001-012-918143,0.05659,0.14286,Low,Administrative Approval,0.9338,v2026-08-23T20-17-06
36-003-002-248756,0.99754,1.0,High,Ownership / Title,0.8692,v2026-08-23T20-17-06
09-002-022-794672,0.08303,0.2,Low,Rehabilitation (R&R),0.9587,v2026-08-23T20-17-06
09-044-006-290384,0.00707,0.0,Low,Administrative Approval,0.9604,v2026-08-23T20-17-06
09-044-016-721787,0.93351,0.86792,High,Rehabilitation (R&R),0.718,v2026-08-23T20-17-06
33-014-001-555143,0.00022,0.0,Low,Administrative Approval,0.5978,v2026-08-23T20-17-06
33-014-006-723639,0.06621,0.14286,Low,Administrative Approval,0.7721,v2026-08-23T20-17-06
33-045-020-990820,0.30218,0.35484,Low,Compensation Disbursal,0.8383,v2026-08-23T20-17-06
36-019-007-248099,0.0936,0.2,Low,Compensation Disbursal,0.4522,v2026-08-23T20-17-06
