ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
21-005-003-657654,0.96544,0.98077,High,Legal Dispute,0.7083,v2026-08-23T12-16-56
22-009-007-337564,0.96463,0.98077,High,Compensation Disbursal,0.9864,v2026-08-23T12-16-56
21-012-024-149588,0.15724,0.19231,Low,Legal Dispute,0.9474,v2026-08-23T12-16-56
29-022-008-374630,0.92205,0.89362,High,Ownership / Title,0.6149,v2026-08-23T12-16-56
29-009-010-716020,0.02036,0.07937,Low,Rehabilitation (R&R),0.9464,v2026-08-23T12-16-56
09-002-008-247131,0.77162,0.71429,High,Compensation Disbursal,0.5615,v2026-08-23T12-16-56
33-045-019-735619,0.95631,0.89362,High,Compensation Disbursal,0.8686,v2026-08-23T12-16-56
23-028-009-366887,0.19496,0.27273,Low,Ownership / Title,0.3627,v2026-08-23T12-16-56
09-002-024-838219,0.97804,0.98077,High,Legal Dispute,0.8691,v2026-08-23T12-16-56
09-015-013-453498,0.9771,0.98077,High,Legal Dispute,0.9346,v2026-08-23T12-16-56
21-026-020-567288,0.01263,0.04,Low,Compensation Disbursal,0.3824,v2026-08-23T12-16-56
22-002-007-592318,0.57707,0.61538,Medium,Compensation Disbursal,0.8875,v2026-08-23T12-16-56
22-014-005-537148,0.0212,0.07937,Low,Rehabilitation (R&R),0.957,v2026-08-23T12-16-56
27-001-009-520920,0.67975,0.61538,Medium,Ownership / Title,0.8661,v2026-08-23T12-16-56
27-025-017-599201,0.0013,0.0,Low,Legal Dispute,0.7587,v2026-08-23T12-16-56
36-019-009-063906,0.90551,0.81818,High,Administrative Approval,0.7143,v2026-08-23T12-16-56
33-023-012-850145,0.95342,0.89362,High,Compensation Disbursal,0.5363,v2026-08-23T12-16-56
22-009-008-472058,0.00988,0.04,Low,Administrative Approval,0.3871,v2026-08-23T12-16-56
33-045-020-321548,0.80069,0.77419,High,Ownership / Title,0.8995,v2026-08-23T12-16-56
21-019-008-698182,0.00052,0.0,Low,Compensation Disbursal,0.5201,v2026-08-23T12-16-56
27-013-002-146772,0.87302,0.81818,High,Legal Dispute,0.7891,v2026-08-23T12-16-56
29-018-011-534431,0.73234,0.71429,High,Legal Dispute,0.8422,v2026-08-23T12-16-56
21-005-017-021538,0.01316,0.07937,Low,Administrative Approval,0.4737,v2026-08-23T12-16-56
27-025-024-358473,0.13596,0.19231,Low,Legal Dispute,0.4648,v2026-08-23T12-16-56
21-005-007-105539,0.04219,0.17857,Low,Legal Dispute,0.4546,v2026-08-23T12-16-56
09-002-005-820092,0.68203,0.61538,Medium,Rehabilitation (R&R),0.9137,v2026-08-23T12-16-56
22-014-011-799681,0.9565,0.89362,High,Legal Dispute,0.9829,v2026-08-23T12-16-56
27-001-002-554599,0.63425,0.61538,Medium,Legal Dispute,0.9935,v2026-08-23T12-16-56
23-016-024-215387,0.17055,0.2,Low,Administrative Approval,0.6318,v2026-08-23T12-16-56
33-014-021-996444,0.49644,0.61538,Medium,Legal Dispute,0.5076,v2026-08-23T12-16-56
36-011-021-000186,0.63096,0.61538,Medium,Legal Dispute,0.9496,v2026-08-23T12-16-56
27-025-006-055986,0.6208,0.61538,Medium,Compensation Disbursal,0.9674,v2026-08-23T12-16-56
23-033-023-979338,0.95815,0.89362,High,Legal Dispute,0.5877,v2026-08-23T12-16-56
23-028-003-517002,0.73057,0.71429,High,Rehabilitation (R&R),0.7391,v2026-08-23T12-16-56
09-002-012-096995,0.72655,0.71429,High,Legal Dispute,0.5753,v2026-08-23T12-16-56
22-009-021-927813,0.04663,0.17857,Low,Rehabilitation (R&R),0.9815,v2026-08-23T12-16-56
36-027-022-025842,0.02916,0.07937,Low,Compensation Disbursal,0.591,v2026-08-23T12-16-56
27-013-023-822545,0.01433,0.07937,Low,Administrative Approval,0.9753,v2026-08-23T12-16-56
22-002-009-216421,0.65163,0.61538,Medium,Legal Dispute,0.6351,v2026-08-23T12-16-56
27-025-012-427552,0.03251,0.07937,Low,Administrative Approval,0.5277,v2026-08-23T12-16-56
21-012-016-832029,0.01588,0.07937,Low,Legal Dispute,0.5,v2026-08-23T12-16-56
27-037-005-932752,0.01798,0.07937,Low,Administrative Approval,0.9836,v2026-08-23T12-16-56
21-005-015-592807,0.03882,0.17857,Low,Ownership / Title,0.3994,v2026-08-23T12-16-56
29-022-005-835678,0.86438,0.77419,High,Ownership / Title,0.6714,v2026-08-23T12-16-56
23-033-002-472071,0.9811,0.98077,High,Legal Dispute,0.8938,v2026-08-23T12-16-56
21-019-002-373494,0.30491,0.30435,Low,Rehabilitation (R&R),0.7926,v2026-08-23T12-16-56
22-009-014-331358,0.00101,0.0,Low,Administrative Approval,0.6249,v2026-08-23T12-16-56
33-045-007-088086,0.32684,0.30435,Low,Rehabilitation (R&R),0.8603,v2026-08-23T12-16-56
36-019-019-608716,0.9089,0.84897,High,Compensation Disbursal,0.6333,v2026-08-23T12-16-56
33-045-020-784492,0.00066,0.0,Low,Ownership / Title,0.8058,v2026-08-23T12-16-56
33-031-014-681066,0.99174,1.0,High,Legal Dispute,0.9348,v2026-08-23T12-16-56
27-037-002-254678,0.00045,0.0,Low,Administrative Approval,0.3534,v2026-08-23T12-16-56
36-019-015-521734,0.02552,0.07937,Low,Administrative Approval,0.6565,v2026-08-23T12-16-56
21-026-001-457850,0.50303,0.61538,Medium,Compensation Disbursal,0.59,v2026-08-23T12-16-56
22-009-015-710252,0.02299,0.07937,Low,Compensation Disbursal,0.6029,v2026-08-23T12-16-56
21-019-001-187413,0.96803,0.98077,High,Compensation Disbursal,0.8795,v2026-08-23T12-16-56
33-045-014-879637,0.18879,0.27273,Low,Administrative Approval,0.4208,v2026-08-23T12-16-56
27-001-023-118983,0.27461,0.30435,Low,Legal Dispute,0.986,v2026-08-23T12-16-56
33-031-008-004122,0.57377,0.61538,Medium,Ownership / Title,0.6999,v2026-08-23T12-16-56
29-018-002-309194,0.70005,0.61538,Medium,Legal Dispute,0.7259,v2026-08-23T12-16-56
22-002-018-182753,0.1348,0.19231,Low,Administrative Approval,0.5859,v2026-08-23T12-16-56
29-022-023-805781,0.51913,0.61538,Medium,Compensation Disbursal,0.586,v2026-08-23T12-16-56
36-027-009-512307,0.69034,0.61538,Medium,Legal Dispute,0.7956,v2026-08-23T12-16-56
22-018-014-152454,0.98954,1.0,High,Compensation Disbursal,0.6415,v2026-08-23T12-16-56
36-003-001-892924,0.03609,0.125,Low,Administrative Approval,0.6975,v2026-08-23T12-16-56
22-002-014-968638,0.86242,0.77419,High,Administrative Approval,0.8857,v2026-08-23T12-16-56
09-002-007-366292,0.85446,0.77419,High,Legal Dispute,0.6152,v2026-08-23T12-16-56
36-011-023-761008,0.35682,0.30435,Low,Legal Dispute,0.5081,v2026-08-23T12-16-56
09-044-012-825329,0.84896,0.77419,High,Compensation Disbursal,0.967,v2026-08-23T12-16-56
22-014-012-813733,0.51106,0.61538,Medium,Legal Dispute,0.3745,v2026-08-23T12-16-56
29-022-022-522533,0.99904,1.0,High,Ownership / Title,0.967,v2026-08-23T12-16-56
36-003-001-808075,0.00069,0.0,Low,Rehabilitation (R&R),0.3378,v2026-08-23T12-16-56
21-005-022-175155,0.14622,0.19231,Low,Compensation Disbursal,0.8292,v2026-08-23T12-16-56
27-013-008-236445,0.18638,0.27273,Low,Compensation Disbursal,0.5092,v2026-08-23T12-16-56
09-044-008-926898,0.00387,0.0,Low,Administrative Approval,0.4402,v2026-08-23T12-16-56
29-022-009-232014,0.61702,0.61538,Medium,Ownership / Title,0.6421,v2026-08-23T12-16-56
21-012-017-655235,0.83658,0.77419,High,Ownership / Title,0.5859,v2026-08-23T12-16-56
33-014-022-104665,0.00298,0.0,Low,Administrative Approval,0.9515,v2026-08-23T12-16-56
33-045-003-904905,0.0099,0.04,Low,Administrative Approval,0.4474,v2026-08-23T12-16-56
09-002-012-069721,0.0524,0.17857,Low,Compensation Disbursal,0.9166,v2026-08-23T12-16-56
27-025-022-382533,0.98312,0.98077,High,Legal Dispute,0.9506,v2026-08-23T12-16-56
29-018-016-842919,0.32893,0.30435,Low,Compensation Disbursal,0.4926,v2026-08-23T12-16-56
09-031-012-013572,0.00099,0.0,Low,Administrative Approval,0.4575,v2026-08-23T12-16-56
21-005-008-420826,0.2088,0.27273,Low,Legal Dispute,0.9204,v2026-08-23T12-16-56
29-022-015-841838,0.11844,0.19231,Low,Legal Dispute,0.7061,v2026-08-23T12-16-56
33-031-021-185290,0.00044,0.0,Low,Administrative Approval,0.527,v2026-08-23T12-16-56
23-033-003-670128,0.94558,0.89362,High,Legal Dispute,0.9896,v2026-08-23T12-16-56
21-019-013-773037,0.05607,0.17857,Low,Administrative Approval,0.8502,v2026-08-23T12-16-56
33-014-007-313313,0.99604,1.0,High,Ownership / Title,0.9741,v2026-08-23T12-16-56
27-037-024-289386,0.61182,0.61538,Medium,Administrative Approval,0.6661,v2026-08-23T12-16-56
09-031-003-212773,0.00954,0.04,Low,Administrative Approval,0.5331,v2026-08-23T12-16-56
33-014-019-969365,0.00249,0.0,Low,Compensation Disbursal,0.8475,v2026-08-23T12-16-56
22-009-007-960071,0.01104,0.04,Low,Rehabilitation (R&R),0.7559,v2026-08-23T12-16-56
21-019-018-312999,0.97708,0.98077,High,Legal Dispute,0.9766,v2026-08-23T12-16-56
09-044-010-399385,0.00665,0.0,Low,Administrative Approval,0.6297,v2026-08-23T12-16-56
21-026-023-607277,0.28382,0.30435,Low,Administrative Approval,0.9778,v2026-08-23T12-16-56
09-044-014-664609,0.74686,0.71429,High,Legal Dispute,0.6693,v2026-08-23T12-16-56
21-005-022-199357,0.00395,0.0,Low,Compensation Disbursal,0.817,v2026-08-23T12-16-56
09-044-003-334004,0.83093,0.77419,High,Rehabilitation (R&R),0.9287,v2026-08-23T12-16-56
29-009-010-091248,0.52792,0.61538,Medium,Legal Dispute,0.5234,v2026-08-23T12-16-56
33-031-001-161337,0.02225,0.07937,Low,Compensation Disbursal,0.4723,v2026-08-23T12-16-56
22-014-008-482155,0.02081,0.07937,Low,Compensation Disbursal,0.906,v2026-08-23T12-16-56
22-018-003-316142,0.00651,0.0,Low,Administrative Approval,0.8034,v2026-08-23T12-16-56
23-016-010-298309,0.94808,0.89362,High,Legal Dispute,0.9728,v2026-08-23T12-16-56
33-014-023-215297,0.99693,1.0,High,Legal Dispute,0.7245,v2026-08-23T12-16-56
23-033-005-677236,0.02275,0.07937,Low,Rehabilitation (R&R),0.5511,v2026-08-23T12-16-56
36-003-005-162453,0.98615,0.98077,High,Compensation Disbursal,0.9475,v2026-08-23T12-16-56
09-031-018-325979,0.27615,0.30435,Low,Compensation Disbursal,0.6153,v2026-08-23T12-16-56
21-019-016-998853,0.21678,0.27273,Low,Compensation Disbursal,0.8567,v2026-08-23T12-16-56
27-013-012-943884,0.99925,1.0,High,Legal Dispute,0.8539,v2026-08-23T12-16-56
36-019-009-348048,0.02583,0.07937,Low,Rehabilitation (R&R),0.9636,v2026-08-23T12-16-56
29-018-019-080916,0.88714,0.81818,High,Compensation Disbursal,0.997,v2026-08-23T12-16-56
09-031-019-872573,0.95735,0.89362,High,Legal Dispute,0.8774,v2026-08-23T12-16-56
36-019-019-395879,0.00588,0.0,Low,Rehabilitation (R&R),0.4851,v2026-08-23T12-16-56
21-005-024-424589,0.99489,1.0,High,Ownership / Title,0.9914,v2026-08-23T12-16-56
21-026-006-273094,0.96794,0.98077,High,Administrative Approval,0.8974,v2026-08-23T12-16-56
09-031-023-654734,0.68828,0.61538,Medium,Ownership / Title,0.53,v2026-08-23T12-16-56
36-019-009-327811,0.5882,0.61538,Medium,Administrative Approval,0.7233,v2026-08-23T12-16-56
23-016-002-431793,0.17684,0.2,Low,Compensation Disbursal,0.9287,v2026-08-23T12-16-56
09-044-017-935530,0.62639,0.61538,Medium,Ownership / Title,0.9557,v2026-08-23T12-16-56
29-007-017-378427,0.0853,0.17857,Low,Administrative Approval,0.8622,v2026-08-23T12-16-56
22-018-009-028179,0.03251,0.07937,Low,Compensation Disbursal,0.5032,v2026-08-23T12-16-56
33-031-011-156622,0.268,0.30435,Low,Ownership / Title,0.9674,v2026-08-23T12-16-56
22-009-001-772885,0.82165,0.77419,High,Rehabilitation (R&R),0.8037,v2026-08-23T12-16-56
33-031-004-898735,0.00172,0.0,Low,Administrative Approval,0.6991,v2026-08-23T12-16-56
27-037-005-386916,0.22855,0.27273,Low,Legal Dispute,0.7253,v2026-08-23T12-16-56
33-031-012-725380,0.11428,0.19231,Low,Compensation Disbursal,0.6033,v2026-08-23T12-16-56
29-007-004-408639,0.99426,1.0,High,Compensation Disbursal,0.737,v2026-08-23T12-16-56
23-028-003-670909,0.36924,0.30435,Low,Compensation Disbursal,0.8323,v2026-08-23T12-16-56
36-027-011-634969,0.00944,0.04,Low,Administrative Approval,0.5445,v2026-08-23T12-16-56
23-016-021-062988,0.0201,0.07937,Low,Compensation Disbursal,0.6478,v2026-08-23T12-16-56
21-026-019-308724,0.06669,0.17857,Low,Compensation Disbursal,0.5344,v2026-08-23T12-16-56
23-016-018-510973,0.03151,0.07937,Low,Compensation Disbursal,0.9499,v2026-08-23T12-16-56
29-022-007-695968,0.01153,0.04,Low,Administrative Approval,0.6253,v2026-08-23T12-16-56
21-012-014-065558,0.98495,0.98077,High,Legal Dispute,0.8275,v2026-08-23T12-16-56
29-007-006-208822,0.76975,0.71429,High,Compensation Disbursal,0.7595,v2026-08-23T12-16-56
27-037-016-583331,0.00438,0.0,Low,Compensation Disbursal,0.659,v2026-08-23T12-16-56
33-045-013-795946,0.99036,1.0,High,Legal Dispute,0.6427,v2026-08-23T12-16-56
09-044-020-626400,0.84603,0.77419,High,Compensation Disbursal,0.5564,v2026-08-23T12-16-56
22-018-006-970351,0.70986,0.61538,Medium,Ownership / Title,0.9833,v2026-08-23T12-16-56
36-003-012-548101,0.70994,0.61538,Medium,Compensation Disbursal,0.9101,v2026-08-23T12-16-56
21-026-001-694145,0.01304,0.07937,Low,Administrative Approval,0.5858,v2026-08-23T12-16-56
33-031-016-649876,0.87523,0.81818,High,Compensation Disbursal,0.9637,v2026-08-23T12-16-56
27-037-006-611238,0.98282,0.98077,High,Ownership / Title,0.841,v2026-08-23T12-16-56
23-016-010-263519,0.9428,0.89362,High,Ownership / Title,0.6784,v2026-08-23T12-16-56
23-004-011-299727,0.1556,0.19231,Low,Legal Dispute,0.5528,v2026-08-23T12-16-56
21-005-009-683504,0.69375,0.61538,Medium,Legal Dispute,0.9326,v2026-08-23T12-16-56
29-009-020-506475,0.96879,0.98077,High,Legal Dispute,0.9154,v2026-08-23T12-16-56
09-044-023-942817,0.00664,0.0,Low,Administrative Approval,0.9019,v2026-08-23T12-16-56
36-019-010-992795,0.98733,0.98077,High,Ownership / Title,0.9979,v2026-08-23T12-16-56
09-031-020-450629,0.30529,0.30435,Low,Rehabilitation (R&R),0.9386,v2026-08-23T12-16-56
23-016-022-297348,0.20117,0.27273,Low,Compensation Disbursal,0.9741,v2026-08-23T12-16-56
36-027-002-466005,0.62643,0.61538,Medium,Legal Dispute,0.5689,v2026-08-23T12-16-56
21-019-023-451112,0.03306,0.0925,Low,Administrative Approval,0.9746,v2026-08-23T12-16-56
29-022-016-773029,0.96974,0.98077,High,Legal Dispute,0.9697,v2026-08-23T12-16-56
29-009-010-464509,0.81704,0.77419,High,Administrative Approval,0.7776,v2026-08-23T12-16-56
09-015-005-629643,0.99251,1.0,High,Administrative Approval,0.6175,v2026-08-23T12-16-56
21-005-011-147025,0.80079,0.77419,High,Rehabilitation (R&R),0.6445,v2026-08-23T12-16-56
09-015-015-268798,0.02599,0.07937,Low,Compensation Disbursal,0.4534,v2026-08-23T12-16-56
23-033-011-737585,0.2236,0.27273,Low,Compensation Disbursal,0.6981,v2026-08-23T12-16-56
36-011-012-562616,0.00517,0.0,Low,Administrative Approval,0.8305,v2026-08-23T12-16-56
09-015-018-258288,0.99585,1.0,High,Ownership / Title,0.9878,v2026-08-23T12-16-56
36-027-010-336564,0.46037,0.35714,Low,Rehabilitation (R&R),0.6804,v2026-08-23T12-16-56
33-014-014-486337,0.00102,0.0,Low,Rehabilitation (R&R),0.9511,v2026-08-23T12-16-56
36-011-002-604648,0.89604,0.81818,High,Legal Dispute,0.9981,v2026-08-23T12-16-56
33-045-007-583204,0.00423,0.0,Low,Administrative Approval,0.4588,v2026-08-23T12-16-56
22-018-015-281782,0.02045,0.07937,Low,Rehabilitation (R&R),0.9792,v2026-08-23T12-16-56
23-004-009-955041,0.93933,0.89362,High,Legal Dispute,0.571,v2026-08-23T12-16-56
29-022-024-163578,0.40636,0.30435,Low,Legal Dispute,0.8217,v2026-08-23T12-16-56
23-004-021-604729,0.06775,0.17857,Low,Compensation Disbursal,0.3671,v2026-08-23T12-16-56
36-011-008-403302,0.00055,0.0,Low,Administrative Approval,0.3638,v2026-08-23T12-16-56
23-033-004-337896,0.42671,0.30435,Low,Rehabilitation (R&R),0.7628,v2026-08-23T12-16-56
33-014-015-277839,0.04607,0.17857,Low,Administrative Approval,0.868,v2026-08-23T12-16-56
33-045-005-622277,0.24053,0.27273,Low,Administrative Approval,0.5799,v2026-08-23T12-16-56
33-014-004-600270,0.87342,0.81818,High,Ownership / Title,0.7998,v2026-08-23T12-16-56
33-045-006-087077,0.00029,0.0,Low,Administrative Approval,0.4742,v2026-08-23T12-16-56
33-031-005-708302,0.00042,0.0,Low,Administrative Approval,0.7499,v2026-08-23T12-16-56
33-023-023-868422,0.04854,0.17857,Low,Compensation Disbursal,0.4977,v2026-08-23T12-16-56
21-012-016-573987,0.00957,0.04,Low,Compensation Disbursal,0.4151,v2026-08-23T12-16-56
27-001-013-421750,0.72031,0.62037,Medium,Rehabilitation (R&R),0.7209,v2026-08-23T12-16-56
23-004-013-037075,0.04743,0.17857,Low,Legal Dispute,0.8159,v2026-08-23T12-16-56
09-044-006-085636,0.11598,0.19231,Low,Administrative Approval,0.77,v2026-08-23T12-16-56
22-014-013-660569,0.36954,0.30435,Low,Rehabilitation (R&R),0.9195,v2026-08-23T12-16-56
22-002-016-709031,0.02128,0.07937,Low,Legal Dispute,0.9564,v2026-08-23T12-16-56
27-037-015-915936,0.94653,0.89362,High,Administrative Approval,0.4403,v2026-08-23T12-16-56
33-045-015-960454,0.17174,0.2,Low,Rehabilitation (R&R),0.963,v2026-08-23T12-16-56
09-031-024-799118,0.01204,0.04,Low,Compensation Disbursal,0.6426,v2026-08-23T12-16-56
23-004-013-849153,0.05438,0.17857,Low,Compensation Disbursal,0.5888,v2026-08-23T12-16-56
33-031-011-842506,0.92707,0.89362,High,Ownership / Title,0.9921,v2026-08-23T12-16-56
09-044-011-678937,0.00818,0.04,Low,Administrative Approval,0.5561,v2026-08-23T12-16-56
22-002-022-348266,0.74839,0.71429,High,Ownership / Title,0.9848,v2026-08-23T12-16-56
21-026-004-937999,0.99496,1.0,High,Ownership / Title,0.997,v2026-08-23T12-16-56
09-002-009-306050,0.00424,0.0,Low,Legal Dispute,0.7792,v2026-08-23T12-16-56
36-019-012-013398,0.05003,0.17857,Low,Administrative Approval,0.5754,v2026-08-23T12-16-56
22-014-003-019606,0.95226,0.89362,High,Legal Dispute,0.9598,v2026-08-23T12-16-56
21-026-009-098076,0.99794,1.0,High,Legal Dispute,0.85,v2026-08-23T12-16-56
29-022-018-313731,0.15206,0.19231,Low,Compensation Disbursal,0.9435,v2026-08-23T12-16-56
29-022-003-480081,0.99839,1.0,High,Legal Dispute,0.5334,v2026-08-23T12-16-56
36-027-006-854589,0.92184,0.89362,High,Compensation Disbursal,0.6609,v2026-08-23T12-16-56
33-023-009-186086,0.12785,0.19231,Low,Administrative Approval,0.8249,v2026-08-23T12-16-56
21-026-015-050123,0.00293,0.0,Low,Administrative Approval,0.4807,v2026-08-23T12-16-56
33-014-001-688634,0.41603,0.30435,Low,Rehabilitation (R&R),0.9253,v2026-08-23T12-16-56
36-027-021-927366,0.01974,0.07937,Low,Administrative Approval,0.7368,v2026-08-23T12-16-56
36-027-012-620266,0.06702,0.17857,Low,Administrative Approval,0.5142,v2026-08-23T12-16-56
33-045-007-735680,0.07098,0.17857,Low,Ownership / Title,0.6126,v2026-08-23T12-16-56
22-002-024-084926,0.00659,0.0,Low,Administrative Approval,0.4754,v2026-08-23T12-16-56
33-031-024-214066,0.22501,0.27273,Low,Administrative Approval,0.8298,v2026-08-23T12-16-56
29-022-018-697458,0.8836,0.81818,High,Ownership / Title,0.9979,v2026-08-23T12-16-56
27-037-015-638180,0.14925,0.19231,Low,Legal Dispute,0.6941,v2026-08-23T12-16-56
09-015-020-941039,0.03919,0.17857,Low,Administrative Approval,0.5812,v2026-08-23T12-16-56
22-009-013-481454,0.99937,1.0,High,Compensation Disbursal,0.3324,v2026-08-23T12-16-56
29-022-004-788633,0.77489,0.71429,High,Rehabilitation (R&R),0.5033,v2026-08-23T12-16-56
33-045-011-531102,0.9648,0.98077,High,Legal Dispute,0.8836,v2026-08-23T12-16-56
29-009-022-214448,0.49911,0.61538,Medium,Ownership / Title,0.9552,v2026-08-23T12-16-56
21-012-024-199195,0.04234,0.17857,Low,Administrative Approval,0.9766,v2026-08-23T12-16-56
22-002-019-299770,0.22292,0.27273,Low,Legal Dispute,0.7398,v2026-08-23T12-16-56
29-009-019-414479,0.13903,0.19231,Low,Rehabilitation (R&R),0.435,v2026-08-23T12-16-56
27-037-024-592138,0.41891,0.30435,Low,Administrative Approval,0.9653,v2026-08-23T12-16-56
09-031-016-995048,0.41876,0.30435,Low,Administrative Approval,0.508,v2026-08-23T12-16-56
27-001-015-405987,0.83388,0.77419,High,Legal Dispute,0.9848,v2026-08-23T12-16-56
36-027-010-986859,0.02917,0.07937,Low,Administrative Approval,0.8196,v2026-08-23T12-16-56
23-033-020-797383,0.00344,0.0,Low,Administrative Approval,0.7041,v2026-08-23T12-16-56
22-002-010-708428,0.04654,0.17857,Low,Rehabilitation (R&R),0.9306,v2026-08-23T12-16-56
36-027-013-314456,0.01948,0.07937,Low,Compensation Disbursal,0.4952,v2026-08-23T12-16-56
23-028-006-699935,0.99536,1.0,High,Legal Dispute,0.9767,v2026-08-23T12-16-56
29-009-006-314592,0.17045,0.2,Low,Rehabilitation (R&R),0.6133,v2026-08-23T12-16-56
36-019-011-773030,0.05141,0.17857,Low,Compensation Disbursal,0.7954,v2026-08-23T12-16-56
36-019-018-438600,0.97249,0.98077,High,Compensation Disbursal,0.9919,v2026-08-23T12-16-56
33-045-023-585144,0.9817,0.98077,High,Legal Dispute,0.9861,v2026-08-23T12-16-56
29-022-023-972424,0.03588,0.125,Low,Administrative Approval,0.8957,v2026-08-23T12-16-56
23-028-018-479015,0.00038,0.0,Low,Compensation Disbursal,0.3377,v2026-08-23T12-16-56
09-031-006-348412,0.84051,0.77419,High,Compensation Disbursal,0.9181,v2026-08-23T12-16-56
33-031-016-364585,0.59046,0.61538,Medium,Administrative Approval,0.9287,v2026-08-23T12-16-56
36-019-005-718976,0.67408,0.61538,Medium,Compensation Disbursal,0.4612,v2026-08-23T12-16-56
09-044-002-147956,0.04312,0.17857,Low,Compensation Disbursal,0.5614,v2026-08-23T12-16-56
27-013-004-547768,0.0347,0.125,Low,Compensation Disbursal,0.3634,v2026-08-23T12-16-56
09-031-014-618305,0.84518,0.77419,High,Administrative Approval,0.5972,v2026-08-23T12-16-56
22-009-013-311291,0.99342,1.0,High,Legal Dispute,0.8182,v2026-08-23T12-16-56
27-001-022-863752,0.78069,0.71429,High,Legal Dispute,0.9784,v2026-08-23T12-16-56
23-033-018-663495,0.29964,0.30435,Low,Administrative Approval,0.8529,v2026-08-23T12-16-56
27-037-017-162212,0.0005,0.0,Low,Administrative Approval,0.6563,v2026-08-23T12-16-56
36-019-019-740318,0.13739,0.19231,Low,Rehabilitation (R&R),0.497,v2026-08-23T12-16-56
27-025-019-655829,0.64171,0.61538,Medium,Compensation Disbursal,0.9872,v2026-08-23T12-16-56
33-031-022-233231,0.0108,0.04,Low,Compensation Disbursal,0.9337,v2026-08-23T12-16-56
21-012-011-872921,0.23409,0.27273,Low,Compensation Disbursal,0.7043,v2026-08-23T12-16-56
36-003-019-631474,0.10743,0.18637,Low,Compensation Disbursal,0.6301,v2026-08-23T12-16-56
27-001-016-928452,0.54434,0.61538,Medium,Compensation Disbursal,0.6222,v2026-08-23T12-16-56
29-022-006-554201,0.97697,0.98077,High,Rehabilitation (R&R),0.595,v2026-08-23T12-16-56
09-015-018-017810,0.98943,1.0,High,Ownership / Title,0.2947,v2026-08-23T12-16-56
29-018-014-922306,0.19234,0.27273,Low,Administrative Approval,0.5961,v2026-08-23T12-16-56
29-018-021-168743,0.31511,0.30435,Low,Rehabilitation (R&R),0.8224,v2026-08-23T12-16-56
36-003-022-552861,0.26045,0.30435,Low,Rehabilitation (R&R),0.4221,v2026-08-23T12-16-56
36-027-006-486547,0.00116,0.0,Low,Rehabilitation (R&R),0.4889,v2026-08-23T12-16-56
27-001-012-918143,0.06733,0.17857,Low,Administrative Approval,0.9403,v2026-08-23T12-16-56
36-003-002-248756,0.9977,1.0,High,Ownership / Title,0.8929,v2026-08-23T12-16-56
09-002-022-794672,0.06624,0.17857,Low,Rehabilitation (R&R),0.9364,v2026-08-23T12-16-56
09-044-006-290384,0.011,0.04,Low,Administrative Approval,0.9571,v2026-08-23T12-16-56
09-044-016-721787,0.87843,0.81818,High,Rehabilitation (R&R),0.6609,v2026-08-23T12-16-56
33-014-001-555143,0.00035,0.0,Low,Administrative Approval,0.4341,v2026-08-23T12-16-56
33-014-006-723639,0.07883,0.17857,Low,Administrative Approval,0.8241,v2026-08-23T12-16-56
33-045-020-990820,0.26684,0.30435,Low,Compensation Disbursal,0.7965,v2026-08-23T12-16-56
