state,state_code,district,district_code,taluk,taluk_code,village,village_code,latitude,longitude,no_plots,no_khatiyans,no_tenants,ri_circle,revenue_inspector,tehsildar
Chhattisgarh,22,Durg,009,Durg South,02,Chandrapalli,007,21.28159,81.19339,468,281,146,Durg RI Circle 3,RI-22009-03,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg South,02,Narsapur,008,21.1395,81.18909,1311,971,249,Durg RI Circle 3,RI-22009-03,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg South,02,Basavanahalli,009,20.99443,81.21695,1925,1200,220,Durg RI Circle 3,RI-22009-03,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg South,02,Mallapuram,010,21.25027,81.15799,2674,2152,828,Durg RI Circle 4,RI-22009-04,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg South,02,Amrapur,011,21.19447,81.48157,416,257,138,Durg RI Circle 4,RI-22009-04,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg South,02,Jaitpur,012,21.30799,81.44292,1702,1002,557,Durg RI Circle 4,RI-22009-04,Tehsildar Durg South
Chhattisgarh,22,Durg,009,Durg East,03,Kesarpur,013,21.30822,81.2804,2637,1597,398,Durg RI Circle 5,RI-22009-05,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg East,03,Lakshmipura,014,21.25053,81.26174,595,443,134,Durg RI Circle 5,RI-22009-05,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg East,03,Madhavgarh,015,21.06499,81.21797,1662,1299,492,Durg RI Circle 5,RI-22009-05,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg East,03,Nandgaon,016,21.19182,81.21508,2964,1816,897,Durg RI Circle 6,RI-22009-06,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg East,03,Peddapalli,017,21.13364,81.27444,2118,1179,653,Durg RI Circle 6,RI-22009-06,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg East,03,Raghunathpur,018,21.07504,81.42807,706,474,136,Durg RI Circle 6,RI-22009-06,Tehsildar Durg East
Chhattisgarh,22,Durg,009,Durg West,04,Shivnagar,019,21.10095,81.33165,3095,2178,711,Durg RI Circle 7,RI-22009-07,Tehsildar Durg West
Chhattisgarh,22,Durg,009,Durg West,04,Tarapur,020,21.14022,81.49679,1350,874,201,Durg RI Circle 7,RI-22009-07,Tehsildar Durg West
Chhattisgarh,22,Durg,009,Durg West,04,Uttanahalli,021,21.24262,81.23183,2841,1579,306,Durg RI Circle 7,RI-22009-07,Tehsildar Durg West
Chhattisgarh,22,Durg,009,Durg West,04,Veerapuram,022,21.27631,81.27848,545,403,140,Durg RI Circle 8,RI-22009-08,Tehsildar Durg West
Chhattisgarh,22,Durg,009,Durg West,04,Yellapur,023,21.09458,81.22873,1543,937,173,Durg RI Circle 8,RI-22009-08,Tehsildar Durg West
Chhattisgarh,22,Durg,009,Durg West,04,Zamania,024,21.27263,81.34174,543,347,152,Durg RI Circle 8,RI-22009-08,Tehsildar Durg West
Chhattisgarh,22,Korba,018,Korba North,01,Rampur,001,22.40253,82.60156,1257,880,471,Korba RI Circle 1,RI-22018-01,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba North,01,Kothapalli,002,22.3009,82.50849,1592,1331,428,Korba RI Circle 1,RI-22018-01,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba North,01,Ganeshpura,003,22.31729,82.75565,1828,1024,396,Korba RI Circle 1,RI-22018-01,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba North,01,Bhimnagar,004,22.24891,82.85,1955,1080,514,Korba RI Circle 2,RI-22018-02,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba North,01,Sultanpur,005,22.36041,82.59959,2933,2373,504,Korba RI Circle 2,RI-22018-02,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba North,01,Devgaon,006,22.13841,82.63281,867,651,104,Korba RI Circle 2,RI-22018-02,Tehsildar Korba North
Chhattisgarh,22,Korba,018,Korba South,02,Chandrapalli,007,22.44035,82.54043,1849,1428,457,Korba RI Circle 3,RI-22018-03,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba South,02,Narsapur,008,22.3158,82.6317,1987,1509,591,Korba RI Circle 3,RI-22018-03,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba South,02,Basavanahalli,009,22.29579,82.56171,1506,980,369,Korba RI Circle 3,RI-22018-03,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba South,02,Mallapuram,010,22.23411,82.70721,1340,957,160,Korba RI Circle 4,RI-22018-04,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba South,02,Amrapur,011,22.22448,82.58917,954,638,230,Korba RI Circle 4,RI-22018-04,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba South,02,Jaitpur,012,22.45701,82.62421,2885,1608,454,Korba RI Circle 4,RI-22018-04,Tehsildar Korba South
Chhattisgarh,22,Korba,018,Korba East,03,Kesarpur,013,22.39653,82.52423,720,558,137,Korba RI Circle 5,RI-22018-05,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba East,03,Lakshmipura,014,22.34964,82.68487,2783,1824,477,Korba RI Circle 5,RI-22018-05,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba East,03,Madhavgarh,015,22.3624,82.68748,2409,1349,823,Korba RI Circle 5,RI-22018-05,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba East,03,Nandgaon,016,22.23161,82.72121,2181,1661,728,Korba RI Circle 6,RI-22018-06,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba East,03,Peddapalli,017,22.38634,82.66093,1439,999,529,Korba RI Circle 6,RI-22018-06,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba East,03,Raghunathpur,018,22.29258,82.61332,2734,2045,592,Korba RI Circle 6,RI-22018-06,Tehsildar Korba East
Chhattisgarh,22,Korba,018,Korba West,04,Shivnagar,019,22.2028,82.71639,642,453,192,Korba RI Circle 7,RI-22018-07,Tehsildar Korba West
Chhattisgarh,22,Korba,018,Korba West,04,Tarapur,020,22.36536,82.58517,1782,1382,346,Korba RI Circle 7,RI-22018-07,Tehsildar Korba West
Chhattisgarh,22,Korba,018,Korba West,04,Uttanahalli,021,22.32104,82.67493,1566,993,312,Korba RI Circle 7,RI-22018-07,Tehsildar Korba West
Chhattisgarh,22,Korba,018,Korba West,04,Veerapuram,022,22.48455,82.8215,870,676,97,Korba RI Circle 8,RI-22018-08,Tehsildar Korba West
Chhattisgarh,22,Korba,018,Korba West,04,Yellapur,023,22.29651,82.58709,440,310,134,Korba RI Circle 8,RI-22018-08,Tehsildar Korba West
Chhattisgarh,22,Korba,018,Korba West,04,Zamania,024,22.49421,82.82048,2997,1995,447,Korba RI Circle 8,RI-22018-08,Tehsildar Korba West
Chhattisgarh,22,Raipur,002,Raipur North,01,Rampur,001,21.33006,81.67993,1988,1472,777,Raipur RI Circle 1,RI-22002-01,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur North,01,Kothapalli,002,21.35381,81.74923,4004,2676,1218,Raipur RI Circle 1,RI-22002-01,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur North,01,Ganeshpura,003,21.12181,81.48655,2407,1789,828,Raipur RI Circle 1,RI-22002-01,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur North,01,Bhimnagar,004,21.25614,81.5112,7890,4839,2911,Raipur RI Circle 2,RI-22002-02,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur North,01,Sultanpur,005,21.41126,81.58976,2537,1558,515,Raipur RI Circle 2,RI-22002-02,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur North,01,Devgaon,006,21.27804,81.62397,8770,7388,2163,Raipur RI Circle 2,RI-22002-02,Tehsildar Raipur North
Chhattisgarh,22,Raipur,002,Raipur South,02,Chandrapalli,007,21.25429,81.68238,8723,7265,3269,Raipur RI Circle 3,RI-22002-03,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur South,02,Narsapur,008,21.13326,81.75324,3847,3257,1330,Raipur RI Circle 3,RI-22002-03,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur South,02,Basavanahalli,009,21.13634,81.6244,7554,5277,2173,Raipur RI Circle 3,RI-22002-03,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur South,02,Mallapuram,010,21.22226,81.50794,3266,1892,1019,Raipur RI Circle 4,RI-22002-04,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur South,02,Amrapur,011,21.33082,81.57844,4197,2926,1623,Raipur RI Circle 4,RI-22002-04,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur South,02,Jaitpur,012,21.20963,81.43596,2524,1897,825,Raipur RI Circle 4,RI-22002-04,Tehsildar Raipur South
Chhattisgarh,22,Raipur,002,Raipur East,03,Kesarpur,013,21.28237,81.61701,7090,4595,1273,Raipur RI Circle 5,RI-22002-05,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur East,03,Lakshmipura,014,21.24777,81.51086,5020,2820,1341,Raipur RI Circle 5,RI-22002-05,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur East,03,Madhavgarh,015,21.12236,81.79818,5441,3801,1097,Raipur RI Circle 5,RI-22002-05,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur East,03,Nandgaon,016,21.24407,81.73035,8541,5290,1341,Raipur RI Circle 6,RI-22002-06,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur East,03,Peddapalli,017,21.2292,81.47008,4507,3242,1084,Raipur RI Circle 6,RI-22002-06,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur East,03,Raghunathpur,018,21.3603,81.60454,7157,5557,956,Raipur RI Circle 6,RI-22002-06,Tehsildar Raipur East
Chhattisgarh,22,Raipur,002,Raipur West,04,Shivnagar,019,21.21129,81.52297,6250,3581,1490,Raipur RI Circle 7,RI-22002-07,Tehsildar Raipur West
Chhattisgarh,22,Raipur,002,Raipur West,04,Tarapur,020,21.3653,81.70228,7262,6140,1499,Raipur RI Circle 7,RI-22002-07,Tehsildar Raipur West
Chhattisgarh,22,Raipur,002,Raipur West,04,Uttanahalli,021,21.11396,81.71393,6627,4828,1892,Raipur RI Circle 7,RI-22002-07,Tehsildar Raipur West
Chhattisgarh,22,Raipur,002,Raipur West,04,Veerapuram,022,21.32804,81.51699,5877,3297,2179,Raipur RI Circle 8,RI-22002-08,Tehsildar Raipur West
Chhattisgarh,22,Raipur,002,Raipur West,04,Yellapur,023,21.24394,81.50143,6831,5087,2174,Raipur RI Circle 8,RI-22002-08,Tehsildar Raipur West
Chhattisgarh,22,Raipur,002,Raipur West,04,Zamania,024,21.17161,81.57862,7205,4759,1973,Raipur RI Circle 8,RI-22002-08,Tehsildar Raipur West
Karnataka,29,Belagavi,022,Belagavi North,01,Rampur,001,15.92991,74.44069,889,698,279,Belagavi RI Circle 1,RI-29022-01,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi North,01,Kothapalli,002,15.8078,74.379,2156,1767,631,Belagavi RI Circle 1,RI-29022-01,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi North,01,Ganeshpura,003,15.86062,74.36332,795,574,309,Belagavi RI Circle 1,RI-29022-01,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi North,01,Bhimnagar,004,15.90259,74.61576,1535,986,523,Belagavi RI Circle 2,RI-29022-02,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi North,01,Sultanpur,005,15.72351,74.45224,1327,970,204,Belagavi RI Circle 2,RI-29022-02,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi North,01,Devgaon,006,15.74214,74.55861,1944,1501,588,Belagavi RI Circle 2,RI-29022-02,Tehsildar Belagavi North
Karnataka,29,Belagavi,022,Belagavi South,02,Chandrapalli,007,15.77867,74.49679,2983,2439,337,Belagavi RI Circle 3,RI-29022-03,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi South,02,Narsapur,008,15.94586,74.44584,1167,736,433,Belagavi RI Circle 3,RI-29022-03,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi South,02,Basavanahalli,009,15.92274,74.49631,953,767,105,Belagavi RI Circle 3,RI-29022-03,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi South,02,Mallapuram,010,15.91341,74.39175,957,582,351,Belagavi RI Circle 4,RI-29022-04,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi South,02,Amrapur,011,15.95737,74.29614,3019,1984,1189,Belagavi RI Circle 4,RI-29022-04,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi South,02,Jaitpur,012,16.03829,74.65481,1779,1176,673,Belagavi RI Circle 4,RI-29022-04,Tehsildar Belagavi South
Karnataka,29,Belagavi,022,Belagavi East,03,Kesarpur,013,15.87808,74.33145,2810,2268,653,Belagavi RI Circle 5,RI-29022-05,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi East,03,Lakshmipura,014,15.74641,74.4227,1374,833,458,Belagavi RI Circle 5,RI-29022-05,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi East,03,Madhavgarh,015,15.81201,74.48959,1454,1226,226,Belagavi RI Circle 5,RI-29022-05,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi East,03,Nandgaon,016,15.82195,74.47166,3080,1978,402,Belagavi RI Circle 6,RI-29022-06,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi East,03,Peddapalli,017,15.93103,74.53229,2736,1960,1045,Belagavi RI Circle 6,RI-29022-06,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi East,03,Raghunathpur,018,15.9055,74.45404,2595,1863,995,Belagavi RI Circle 6,RI-29022-06,Tehsildar Belagavi East
Karnataka,29,Belagavi,022,Belagavi West,04,Shivnagar,019,15.80768,74.59712,2924,1918,573,Belagavi RI Circle 7,RI-29022-07,Tehsildar Belagavi West
Karnataka,29,Belagavi,022,Belagavi West,04,Tarapur,020,15.9045,74.70907,808,573,264,Belagavi RI Circle 7,RI-29022-07,Tehsildar Belagavi West
Karnataka,29,Belagavi,022,Belagavi West,04,Uttanahalli,021,15.84024,74.65719,527,397,102,Belagavi RI Circle 7,RI-29022-07,Tehsildar Belagavi West
Karnataka,29,Belagavi,022,Belagavi West,04,Veerapuram,022,16.11602,74.41359,2778,2243,797,Belagavi RI Circle 8,RI-29022-08,Tehsildar Belagavi West
Karnataka,29,Belagavi,022,Belagavi West,04,Yellapur,023,15.85561,74.31964,2042,1413,596,Belagavi RI Circle 8,RI-29022-08,Tehsildar Belagavi West
Karnataka,29,Belagavi,022,Belagavi West,04,Zamania,024,15.75834,74.52776,3191,1991,1272,Belagavi RI Circle 8,RI-29022-08,Tehsildar Belagavi West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Rampur,001,12.96742,77.68933,2588,1809,339,Bengaluru Urban RI Circle 1,RI-29007-01,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Kothapalli,002,12.81849,77.59285,3998,3215,1250,Bengaluru Urban RI Circle 1,RI-29007-01,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Ganeshpura,003,13.01618,77.41281,2251,1266,796,Bengaluru Urban RI Circle 1,RI-29007-01,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Bhimnagar,004,13.04555,77.65066,5786,3940,1193,Bengaluru Urban RI Circle 2,RI-29007-02,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Sultanpur,005,12.92481,77.68616,8257,5948,1463,Bengaluru Urban RI Circle 2,RI-29007-02,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban North,01,Devgaon,006,12.96923,77.53172,4367,2621,804,Bengaluru Urban RI Circle 2,RI-29007-02,Tehsildar Bengaluru Urban North
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Chandrapalli,007,12.98663,77.71598,8758,6363,2505,Bengaluru Urban RI Circle 3,RI-29007-03,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Narsapur,008,12.96029,77.66257,6949,4635,2362,Bengaluru Urban RI Circle 3,RI-29007-03,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Basavanahalli,009,12.72368,77.21824,8422,4772,3188,Bengaluru Urban RI Circle 3,RI-29007-03,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Mallapuram,010,13.05174,77.57628,5099,3135,730,Bengaluru Urban RI Circle 4,RI-29007-04,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Amrapur,011,12.99465,77.56078,6437,4170,2161,Bengaluru Urban RI Circle 4,RI-29007-04,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban South,02,Jaitpur,012,12.94795,77.77984,2898,1716,974,Bengaluru Urban RI Circle 4,RI-29007-04,Tehsildar Bengaluru Urban South
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Kesarpur,013,12.99544,77.64672,8396,5502,2712,Bengaluru Urban RI Circle 5,RI-29007-05,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Lakshmipura,014,13.03703,77.58837,5335,4528,1063,Bengaluru Urban RI Circle 5,RI-29007-05,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Madhavgarh,015,13.13217,77.43095,7811,5887,2676,Bengaluru Urban RI Circle 5,RI-29007-05,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Nandgaon,016,12.9453,77.56658,2228,1313,296,Bengaluru Urban RI Circle 6,RI-29007-06,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Peddapalli,017,12.91834,77.69352,4669,2688,1460,Bengaluru Urban RI Circle 6,RI-29007-06,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban East,03,Raghunathpur,018,12.97147,77.46931,3002,1775,614,Bengaluru Urban RI Circle 6,RI-29007-06,Tehsildar Bengaluru Urban East
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Shivnagar,019,12.85101,77.52364,5869,4638,1255,Bengaluru Urban RI Circle 7,RI-29007-07,Tehsildar Bengaluru Urban West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Tarapur,020,13.03258,77.59837,3003,1687,827,Bengaluru Urban RI Circle 7,RI-29007-07,Tehsildar Bengaluru Urban West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Uttanahalli,021,12.94907,77.52143,8830,6281,3001,Bengaluru Urban RI Circle 7,RI-29007-07,Tehsildar Bengaluru Urban West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Veerapuram,022,13.08696,77.5379,4888,3924,1028,Bengaluru Urban RI Circle 8,RI-29007-08,Tehsildar Bengaluru Urban West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Yellapur,023,12.88584,77.49784,7881,6361,2342,Bengaluru Urban RI Circle 8,RI-29007-08,Tehsildar Bengaluru Urban West
Karnataka,29,Bengaluru Urban,007,Bengaluru Urban West,04,Zamania,024,12.97783,77.53321,6266,4543,785,Bengaluru Urban RI Circle 8,RI-29007-08,Tehsildar Bengaluru Urban West
Karnataka,29,Mysuru,018,Mysuru North,01,Rampur,001,12.34414,76.71863,2512,1841,451,Mysuru RI Circle 1,RI-29018-01,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru North,01,Kothapalli,002,12.42628,76.64935,909,506,251,Mysuru RI Circle 1,RI-29018-01,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru North,01,Ganeshpura,003,12.43108,76.59429,3111,2070,590,Mysuru RI Circle 1,RI-29018-01,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru North,01,Bhimnagar,004,12.35766,76.60491,487,353,161,Mysuru RI Circle 2,RI-29018-02,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru North,01,Sultanpur,005,12.36637,76.5701,599,502,79,Mysuru RI Circle 2,RI-29018-02,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru North,01,Devgaon,006,12.30798,76.70943,933,698,324,Mysuru RI Circle 2,RI-29018-02,Tehsildar Mysuru North
Karnataka,29,Mysuru,018,Mysuru South,02,Chandrapalli,007,12.32498,76.64273,1175,931,272,Mysuru RI Circle 3,RI-29018-03,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru South,02,Narsapur,008,12.33297,76.4534,471,296,79,Mysuru RI Circle 3,RI-29018-03,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru South,02,Basavanahalli,009,12.28405,76.69093,1610,1042,448,Mysuru RI Circle 3,RI-29018-03,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru South,02,Mallapuram,010,12.33131,76.67625,2473,2044,257,Mysuru RI Circle 4,RI-29018-04,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru South,02,Amrapur,011,12.18712,76.67493,1060,724,288,Mysuru RI Circle 4,RI-29018-04,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru South,02,Jaitpur,012,12.23187,76.66563,2449,1673,602,Mysuru RI Circle 4,RI-29018-04,Tehsildar Mysuru South
Karnataka,29,Mysuru,018,Mysuru East,03,Kesarpur,013,12.27412,76.61198,1840,1132,235,Mysuru RI Circle 5,RI-29018-05,Tehsildar Mysuru East
Karnataka,29,Mysuru,018,Mysuru East,03,Lakshmipura,014,12.06434,76.58483,1065,847,325,Mysuru RI Circle 5,RI-29018-05,Tehsildar Mysuru East
