ulpin,snapshot_date,risk_score,compensation_disbursed_pct,rehab_progress_pct,days_in_current_stage
23-033-014-835539,2020-02-02,0.2672,26.3,36.4,1
23-033-014-835539,2020-03-03,0.2902,27.6,37.5,1
23-033-014-835539,2020-04-02,0.2998,29.0,38.5,1
23-033-014-835539,2020-05-02,0.3548,30.3,39.6,1
23-033-014-835539,2020-06-01,0.4154,31.7,40.6,10
27-001-017-023647,2022-06-16,0.3413,53.6,59.2,499
27-001-017-023647,2022-07-16,0.3838,55.0,60.2,529
27-001-017-023647,2022-08-15,0.4585,56.3,61.3,559
27-001-017-023647,2022-09-14,0.4813,57.6,62.4,589
27-001-017-023647,2022-10-14,0.5264,59.0,63.4,619
36-027-017-419778,2024-08-04,0.6136,21.6,23.8,25
36-027-017-419778,2024-09-03,0.5591,22.9,24.9,55
36-027-017-419778,2024-10-03,0.5163,24.3,25.9,85
36-027-017-419778,2024-11-02,0.4894,25.6,26.9,115
36-027-017-419778,2024-12-02,0.449,27.0,28.0,145
27-001-024-213539,2020-12-21,0.5542,54.7,82.6,1
27-001-024-213539,2021-01-20,0.515,56.1,83.6,1
27-001-024-213539,2021-02-19,0.4776,57.4,84.7,1
27-001-024-213539,2021-03-21,0.4742,58.8,85.8,10
27-001-024-213539,2021-04-20,0.4157,60.1,86.8,40
36-019-021-048525,2023-05-22,0.2813,59.0,35.7,1
36-019-021-048525,2023-06-21,0.284,60.4,36.8,1
36-019-021-048525,2023-07-21,0.2557,61.7,37.8,1
36-019-021-048525,2023-08-20,0.295,63.1,38.9,12
36-019-021-048525,2023-09-19,0.3196,64.4,39.9,42
23-016-010-430888,2025-05-18,0.8342,9.1,56.2,1
23-016-010-430888,2025-06-17,0.7641,10.4,57.2,1
23-016-010-430888,2025-07-17,0.716,11.8,58.3,1
23-016-010-430888,2025-08-16,0.6885,13.2,59.4,1
23-016-010-430888,2025-09-15,0.5878,14.5,60.4,3
33-045-015-628192,2024-10-01,0.4928,78.3,31.3,1
33-045-015-628192,2024-10-31,0.5359,79.7,32.4,1
33-045-015-628192,2024-11-30,0.5163,81.0,33.4,1
33-045-015-628192,2024-12-30,0.579,82.4,34.5,17
33-045-015-628192,2025-01-29,0.5596,83.7,35.5,47
21-005-019-903819,2025-06-30,0.5501,35.1,36.9,1
21-005-019-903819,2025-07-30,0.4952,36.5,38.0,1
21-005-019-903819,2025-08-29,0.4624,37.8,39.0,1
21-005-019-903819,2025-09-28,0.3782,39.1,40.1,22
21-005-019-903819,2025-10-28,0.3737,40.5,41.1,52
29-009-002-628978,2022-07-20,0.5646,13.2,29.3,1
29-009-002-628978,2022-08-19,0.5957,14.6,30.4,1
29-009-002-628978,2022-09-18,0.5939,15.9,31.4,24
29-009-002-628978,2022-10-18,0.5531,17.2,32.5,54
29-009-002-628978,2022-11-17,0.5839,18.6,33.5,84
36-019-003-782215,2025-03-17,0.2834,35.5,33.5,1
36-019-003-782215,2025-04-16,0.4003,36.9,34.6,1
36-019-003-782215,2025-05-16,0.4285,38.2,35.6,1
36-019-003-782215,2025-06-15,0.4971,39.5,36.7,1
36-019-003-782215,2025-07-15,0.5655,40.9,37.7,23
22-009-021-451815,2023-01-02,0.8492,40.5,13.8,78
22-009-021-451815,2023-02-01,0.7556,41.9,14.8,108
22-009-021-451815,2023-03-03,0.7163,43.2,15.9,138
22-009-021-451815,2023-04-02,0.6585,44.5,16.9,168
22-009-021-451815,2023-05-02,0.5457,45.9,18.0,198
23-028-014-694966,2024-12-22,0.5329,65.1,24.7,313
23-028-014-694966,2025-01-21,0.5406,66.5,25.8,343
23-028-014-694966,2025-02-20,0.5828,67.8,26.8,373
23-028-014-694966,2025-03-22,0.5509,69.2,27.8,403
23-028-014-694966,2025-04-21,0.5436,70.5,28.9,433
33-014-020-266749,2023-10-29,0.6554,29.7,11.7,1
33-014-020-266749,2023-11-28,0.6406,31.1,12.8,1
33-014-020-266749,2023-12-28,0.5977,32.4,13.8,1
33-014-020-266749,2024-01-27,0.6252,33.8,14.8,16
33-014-020-266749,2024-02-26,0.5635,35.1,15.9,46
33-023-003-347613,2023-09-17,0.4065,40.7,54.0,1
33-023-003-347613,2023-10-17,0.4572,42.1,55.1,1
33-023-003-347613,2023-11-16,0.4291,43.4,56.1,10
33-023-003-347613,2023-12-16,0.4967,44.8,57.2,40
33-023-003-347613,2024-01-15,0.5123,46.1,58.2,70
21-019-019-960921,2021-06-16,0.7483,42.9,21.5,1
21-019-019-960921,2021-07-16,0.7064,44.2,22.5,1
21-019-019-960921,2021-08-15,0.7146,45.6,23.6,1
21-019-019-960921,2021-09-14,0.7445,46.9,24.6,20
21-019-019-960921,2021-10-14,0.7698,48.3,25.7,50
23-033-020-446058,2023-09-11,0.5087,72.6,13.5,1
23-033-020-446058,2023-10-11,0.4787,74.0,14.5,29
23-033-020-446058,2023-11-10,0.4424,75.3,15.6,59
23-033-020-446058,2023-12-10,0.4228,76.7,16.6,89
23-033-020-446058,2024-01-09,0.4145,78.0,17.7,119
33-031-017-145427,2021-02-22,0.4087,60.7,3.7,1
33-031-017-145427,2021-03-24,0.409,62.0,4.8,1
33-031-017-145427,2021-04-23,0.3989,63.4,5.8,1
33-031-017-145427,2021-05-23,0.3924,64.8,6.9,17
33-031-017-145427,2021-06-22,0.3744,66.1,7.9,47
36-003-020-490577,2024-04-06,0.1271,21.2,36.4,1
36-003-020-490577,2024-05-06,0.1883,22.6,37.5,1
36-003-020-490577,2024-06-05,0.2096,23.9,38.5,1
36-003-020-490577,2024-07-05,0.1709,25.2,39.6,1
36-003-020-490577,2024-08-04,0.2215,26.6,40.6,3
36-003-012-771038,2024-08-07,0.5596,44.6,50.7,1
36-003-012-771038,2024-09-06,0.5141,46.0,51.8,1
36-003-012-771038,2024-10-06,0.5208,47.3,52.8,1
36-003-012-771038,2024-11-05,0.3985,48.6,53.9,1
36-003-012-771038,2024-12-05,0.377,50.0,54.9,28
21-019-024-663726,2023-09-20,0.2632,56.1,17.2,1
21-019-024-663726,2023-10-20,0.3181,57.5,18.2,1
21-019-024-663726,2023-11-19,0.3783,58.8,19.3,1
21-019-024-663726,2023-12-19,0.4175,60.1,20.3,27
21-019-024-663726,2024-01-18,0.481,61.5,21.4,57
36-011-012-262871,2021-08-30,0.0926,57.0,67.0,1
36-011-012-262871,2021-09-29,0.1186,58.4,68.0,1
36-011-012-262871,2021-10-29,0.205,59.7,69.1,1
36-011-012-262871,2021-11-28,0.2529,61.0,70.2,4
36-011-012-262871,2021-12-28,0.2908,62.4,71.2,34
29-022-024-239792,2023-01-30,0.4198,36.5,85.2,1
29-022-024-239792,2023-03-01,0.4025,37.9,86.2,26
29-022-024-239792,2023-03-31,0.4497,39.2,87.3,56
29-022-024-239792,2023-04-30,0.4285,40.5,88.4,86
29-022-024-239792,2023-05-30,0.4926,41.9,89.4,116
33-045-010-090659,2022-11-08,0.5968,82.3,7.5,56
33-045-010-090659,2022-12-08,0.5265,83.7,8.5,86
33-045-010-090659,2023-01-07,0.4957,85.0,9.6,116
33-045-010-090659,2023-02-06,0.4032,86.4,10.6,146
33-045-010-090659,2023-03-08,0.3534,87.7,11.7,176
33-023-009-270578,2022-01-24,0.01,82.5,19.5,103
33-023-009-270578,2022-02-23,0.0278,83.9,20.5,133
33-023-009-270578,2022-03-25,0.0584,85.2,21.6,163
33-023-009-270578,2022-04-24,0.0802,86.6,22.6,193
33-023-009-270578,2022-05-24,0.1201,87.9,23.7,223
36-027-010-345877,2024-07-29,0.9381,78.2,10.9,1
36-027-010-345877,2024-08-28,0.8737,79.5,11.9,26
36-027-010-345877,2024-09-27,0.7737,80.9,13.0,56
36-027-010-345877,2024-10-27,0.6728,82.2,14.0,86
36-027-010-345877,2024-11-26,0.5934,83.6,15.1,116
21-026-005-770237,2020-11-15,0.5446,85.9,14.8,1
21-026-005-770237,2020-12-15,0.5702,87.2,15.8,1
21-026-005-770237,2021-01-14,0.6473,88.6,16.9,23
21-026-005-770237,2021-02-13,0.6399,90.0,17.9,53
21-026-005-770237,2021-03-15,0.6965,91.3,19.0,83
21-005-020-076194,2025-10-11,0.5024,53.7,27.7,1
21-005-020-076194,2025-11-10,0.4983,55.1,28.8,1
21-005-020-076194,2025-12-10,0.4626,56.4,29.8,1
21-005-020-076194,2026-01-09,0.4799,57.8,30.8,1
21-005-020-076194,2026-02-08,0.4721,59.1,31.9,4
33-014-011-676436,2024-04-27,0.6138,85.1,5.8,113
33-014-011-676436,2024-05-27,0.5873,86.5,6.8,143
33-014-011-676436,2024-06-26,0.5287,87.8,7.9,173
33-014-011-676436,2024-07-26,0.4445,89.2,8.9,203
33-014-011-676436,2024-08-25,0.3985,90.5,10.0,233
09-031-012-968801,2022-08-28,0.4973,65.0,23.4,76
09-031-012-968801,2022-09-27,0.4652,66.4,24.5,106
09-031-012-968801,2022-10-27,0.4284,67.7,25.5,136
09-031-012-968801,2022-11-26,0.3551,69.1,26.6,166
09-031-012-968801,2022-12-26,0.3533,70.4,27.6,196
36-011-010-433055,2023-09-07,0.6389,32.7,29.1,1
36-011-010-433055,2023-10-07,0.6128,34.1,30.1,12
36-011-010-433055,2023-11-06,0.5601,35.4,31.2,42
36-011-010-433055,2023-12-06,0.5679,36.8,32.2,72
36-011-010-433055,2024-01-05,0.4917,38.1,33.3,102
09-044-011-783326,2021-11-01,0.467,44.2,36.6,1
09-044-011-783326,2021-12-01,0.4315,45.6,37.6,1
09-044-011-783326,2021-12-31,0.4343,46.9,38.7,1
09-044-011-783326,2022-01-30,0.3615,48.2,39.8,1
09-044-011-783326,2022-03-01,0.3866,49.6,40.8,5
27-037-023-175762,2023-03-18,0.5915,20.7,26.7,1
27-037-023-175762,2023-04-17,0.5742,22.1,27.8,1
27-037-023-175762,2023-05-17,0.5931,23.4,28.8,1
27-037-023-175762,2023-06-16,0.5757,24.8,29.8,1
27-037-023-175762,2023-07-16,0.5928,26.1,30.9,3
09-002-018-066783,2024-06-16,0.2288,16.5,31.1,124
09-002-018-066783,2024-07-16,0.3425,17.8,32.1,154
09-002-018-066783,2024-08-15,0.4497,19.2,33.2,184
09-002-018-066783,2024-09-14,0.563,20.5,34.2,214
09-002-018-066783,2024-10-14,0.6439,21.9,35.3,244
33-045-018-544333,2021-05-16,0.99,66.5,17.2,255
33-045-018-544333,2021-06-15,0.99,67.9,18.2,285
33-045-018-544333,2021-07-15,0.8684,69.2,19.3,315
33-045-018-544333,2021-08-14,0.673,70.6,20.3,345
33-045-018-544333,2021-09-13,0.539,71.9,21.4,375
36-003-014-168649,2021-04-26,0.4915,22.2,40.2,1
36-003-014-168649,2021-05-26,0.4909,23.6,41.2,1
36-003-014-168649,2021-06-25,0.4732,24.9,42.3,13
36-003-014-168649,2021-07-25,0.5349,26.2,43.4,43
36-003-014-168649,2021-08-24,0.4989,27.6,44.4,73
22-018-016-872581,2025-02-20,0.2942,53.0,52.9,1
22-018-016-872581,2025-03-22,0.3666,54.4,54.0,1
22-018-016-872581,2025-04-21,0.4976,55.7,55.0,1
22-018-016-872581,2025-05-21,0.5602,57.0,56.1,1
22-018-016-872581,2025-06-20,0.6285,58.4,57.1,18
23-033-008-121651,2022-07-26,0.2864,49.9,68.0,1
23-033-008-121651,2022-08-25,0.3014,51.2,69.0,21
23-033-008-121651,2022-09-24,0.37,52.6,70.1,51
23-033-008-121651,2022-10-24,0.3975,53.9,71.2,81
23-033-008-121651,2022-11-23,0.3755,55.3,72.2,111
21-019-014-988271,2025-11-21,0.21,54.0,28.6,1
21-019-014-988271,2025-12-21,0.2302,55.4,29.6,1
21-019-014-988271,2026-01-20,0.253,56.7,30.7,1
21-019-014-988271,2026-02-19,0.3004,58.0,31.7,22
21-019-014-988271,2026-03-21,0.3794,59.4,32.8,52
21-026-002-958256,2022-01-16,0.2674,64.5,83.0,122
21-026-002-958256,2022-02-15,0.2506,65.9,84.0,152
21-026-002-958256,2022-03-17,0.2607,67.2,85.1,182
21-026-002-958256,2022-04-16,0.2933,68.6,86.2,212
21-026-002-958256,2022-05-16,0.3139,69.9,87.2,242
23-033-012-909547,2025-02-23,0.8116,27.6,28.9,1
23-033-012-909547,2025-03-25,0.7608,28.9,30.0,1
23-033-012-909547,2025-04-24,0.7301,30.3,31.0,1
23-033-012-909547,2025-05-24,0.7413,31.6,32.1,1
23-033-012-909547,2025-06-23,0.678,33.0,33.1,9
33-014-011-363947,2025-02-15,0.4939,14.8,68.7,125
33-014-011-363947,2025-03-17,0.4293,16.1,69.8,155
33-014-011-363947,2025-04-16,0.3738,17.5,70.8,185
33-014-011-363947,2025-05-16,0.3752,18.8,71.9,215
33-014-011-363947,2025-06-15,0.243,20.2,72.9,245
36-019-015-490823,2025-06-16,0.99,48.9,3.9,1
36-019-015-490823,2025-07-16,0.99,50.2,4.9,1
36-019-015-490823,2025-08-15,0.9834,51.6,6.0,3
36-019-015-490823,2025-09-14,0.8978,52.9,7.0,33
36-019-015-490823,2025-10-14,0.8369,54.3,8.1,63
36-027-016-523186,2024-09-21,0.4836,63.6,22.5,1
36-027-016-523186,2024-10-21,0.4331,65.0,23.5,10
36-027-016-523186,2024-11-20,0.3859,66.3,24.6,40
36-027-016-523186,2024-12-20,0.4316,67.7,25.6,70
36-027-016-523186,2025-01-19,0.3561,69.0,26.7,100
09-031-004-338225,2024-05-11,0.7252,0.0,8.4,1
09-031-004-338225,2024-06-10,0.6897,0.7,9.4,1
09-031-004-338225,2024-07-10,0.596,2.0,10.5,22
09-031-004-338225,2024-08-09,0.5595,3.4,11.5,52
09-031-004-338225,2024-09-08,0.4941,4.7,12.6,82
09-015-007-970801,2024-08-12,0.5142,37.8,82.9,1
09-015-007-970801,2024-09-11,0.5741,39.2,83.9,1
09-015-007-970801,2024-10-11,0.5938,40.5,85.0,1
09-015-007-970801,2024-11-10,0.6268,41.9,86.0,1
09-015-007-970801,2024-12-10,0.6653,43.2,87.1,12
22-014-018-128587,2022-09-13,0.7894,62.5,6.2,20
22-014-018-128587,2022-10-13,0.7561,63.9,7.2,50
22-014-018-128587,2022-11-12,0.6901,65.2,8.3,80
22-014-018-128587,2022-12-12,0.6316,66.6,9.3,110
22-014-018-128587,2023-01-11,0.5471,67.9,10.4,140
36-011-024-925542,2023-07-09,0.4078,25.9,11.8,1
36-011-024-925542,2023-08-08,0.3835,27.2,12.8,1
36-011-024-925542,2023-09-07,0.3632,28.6,13.9,1
36-011-024-925542,2023-10-07,0.3124,29.9,14.9,1
36-011-024-925542,2023-11-06,0.3761,31.3,16.0,25
09-015-020-499467,2025-02-27,0.1337,48.9,79.9,1
09-015-020-499467,2025-03-29,0.2227,50.2,80.9,1
09-015-020-499467,2025-04-28,0.2944,51.6,82.0,1
09-015-020-499467,2025-05-28,0.4064,52.9,83.0,1
09-015-020-499467,2025-06-27,0.459,54.3,84.1,17
21-019-010-250365,2024-01-16,0.6078,56.9,14.0,1
21-019-010-250365,2024-02-15,0.5052,58.2,15.0,2
21-019-010-250365,2024-03-16,0.5176,59.6,16.1,32
21-019-010-250365,2024-04-15,0.4738,60.9,17.1,62
21-019-010-250365,2024-05-15,0.4639,62.3,18.2,92
23-004-020-557776,2025-06-29,0.5382,14.1,63.4,1
23-004-020-557776,2025-07-29,0.4753,15.4,64.4,1
23-004-020-557776,2025-08-28,0.4394,16.8,65.5,20
23-004-020-557776,2025-09-27,0.4425,18.1,66.5,50
23-004-020-557776,2025-10-27,0.4356,19.5,67.6,80
09-015-013-819804,2026-06-30,0.7113,68.6,49.6,1
09-015-013-819804,2026-07-30,0.7067,70.0,50.6,1
09-015-013-819804,2026-08-29,0.6475,71.3,51.7,1
09-015-013-819804,2026-09-28,0.5947,72.7,52.8,1
09-015-013-819804,2026-10-28,0.5342,74.0,53.8,22
22-002-008-335658,2020-10-06,0.1903,49.6,29.1,41
22-002-008-335658,2020-11-05,0.2468,51.0,30.1,71
22-002-008-335658,2020-12-05,0.2992,52.3,31.2,101
22-002-008-335658,2021-01-04,0.2805,53.6,32.2,131
22-002-008-335658,2021-02-03,0.3574,55.0,33.3,161
09-015-012-869466,2023-05-22,0.222,13.1,76.3,1
09-015-012-869466,2023-06-21,0.2465,14.4,77.3,3
09-015-012-869466,2023-07-21,0.2111,15.8,78.4,33
09-015-012-869466,2023-08-20,0.2463,17.1,79.5,63
09-015-012-869466,2023-09-19,0.2455,18.5,80.5,93
27-025-020-420336,2024-10-27,0.5848,58.2,27.9,1
27-025-020-420336,2024-11-26,0.5012,59.6,29.0,1
27-025-020-420336,2024-12-26,0.4141,60.9,30.0,1
27-025-020-420336,2025-01-25,0.3013,62.2,31.1,1
27-025-020-420336,2025-02-24,0.2605,63.6,32.1,21
22-014-019-874264,2020-11-10,0.4888,50.1,62.1,1
22-014-019-874264,2020-12-10,0.4621,51.5,63.1,1
22-014-019-874264,2021-01-09,0.4443,52.8,64.2,1
22-014-019-874264,2021-02-08,0.4084,54.1,65.2,8
22-014-019-874264,2021-03-10,0.3522,55.5,66.3,38
22-018-017-780109,2023-01-26,0.2128,24.1,19.4,1
22-018-017-780109,2023-02-25,0.2868,25.4,20.5,1
22-018-017-780109,2023-03-27,0.3618,26.8,21.5,21
22-018-017-780109,2023-04-26,0.4356,28.1,22.6,51
22-018-017-780109,2023-05-26,0.5256,29.5,23.6,81
29-007-024-604207,2020-08-07,0.4365,61.9,47.9,1
29-007-024-604207,2020-09-06,0.4172,63.2,49.0,1
29-007-024-604207,2020-10-06,0.412,64.6,50.0,4
29-007-024-604207,2020-11-05,0.4112,66.0,51.1,34
29-007-024-604207,2020-12-05,0.4354,67.3,52.1,64
09-031-015-251640,2021-08-22,0.9775,35.0,38.9,4
09-031-015-251640,2021-09-21,0.8965,36.4,40.0,34
09-031-015-251640,2021-10-21,0.7476,37.7,41.0,64
09-031-015-251640,2021-11-20,0.6369,39.0,42.1,94
09-031-015-251640,2021-12-20,0.5003,40.4,43.1,124
36-003-009-242068,2025-05-03,0.0924,64.1,18.9,190
36-003-009-242068,2025-06-02,0.1642,65.5,20.0,220
36-003-009-242068,2025-07-02,0.2261,66.8,21.0,250
36-003-009-242068,2025-08-01,0.2667,68.2,22.1,280
36-003-009-242068,2025-08-31,0.3275,69.5,23.1,310
29-009-021-996364,2024-02-05,0.2401,49.7,8.9,86
29-009-021-996364,2024-03-06,0.2828,51.1,9.9,116
29-009-021-996364,2024-04-05,0.3948,52.4,11.0,146
29-009-021-996364,2024-05-05,0.4408,53.8,12.0,176
29-009-021-996364,2024-06-04,0.5077,55.1,13.1,206
27-037-017-497474,2023-08-11,0.5548,27.8,35.3,1
27-037-017-497474,2023-09-10,0.5393,29.2,36.4,1
27-037-017-497474,2023-10-10,0.5678,30.5,37.4,1
27-037-017-497474,2023-11-09,0.5854,31.9,38.5,9
27-037-017-497474,2023-12-09,0.6113,33.2,39.5,39
33-031-006-445132,2022-02-19,0.2499,38.9,23.7,1
33-031-006-445132,2022-03-21,0.289,40.2,24.8,1
33-031-006-445132,2022-04-20,0.2951,41.6,25.8,1
33-031-006-445132,2022-05-20,0.3216,42.9,26.8,25
33-031-006-445132,2022-06-19,0.275,44.3,27.9,55
23-004-010-714020,2021-09-20,0.7095,51.1,46.0,1
23-004-010-714020,2021-10-20,0.6752,52.5,47.1,1
23-004-010-714020,2021-11-19,0.6216,53.8,48.1,14
23-004-010-714020,2021-12-19,0.638,55.1,49.2,44
23-004-010-714020,2022-01-18,0.5389,56.5,50.2,74
22-018-013-296622,2022-11-25,0.2116,15.6,41.2,1
22-018-013-296622,2022-12-25,0.25,16.9,42.2,1
22-018-013-296622,2023-01-24,0.3142,18.3,43.3,1
22-018-013-296622,2023-02-23,0.3883,19.6,44.4,1
22-018-013-296622,2023-03-25,0.4621,21.0,45.4,4
36-011-005-573011,2024-05-02,0.6593,45.8,9.2,14
36-011-005-573011,2024-06-01,0.5677,47.2,10.2,44
36-011-005-573011,2024-07-01,0.5717,48.5,11.3,74
36-011-005-573011,2024-07-31,0.5075,49.9,12.3,104
36-011-005-573011,2024-08-30,0.4625,51.2,13.4,134
09-031-009-301397,2021-02-16,0.3742,11.1,83.1,1
09-031-009-301397,2021-03-18,0.3868,12.4,84.1,1
09-031-009-301397,2021-04-17,0.4171,13.8,85.2,1
09-031-009-301397,2021-05-17,0.449,15.2,86.2,16
09-031-009-301397,2021-06-16,0.4762,16.5,87.3,46
09-044-024-422247,2022-07-03,0.0967,81.1,7.7,1
09-044-024-422247,2022-08-02,0.194,82.5,8.8,1
09-044-024-422247,2022-09-01,0.2488,83.8,9.8,1
09-044-024-422247,2022-10-01,0.3212,85.2,10.8,6
09-044-024-422247,2022-10-31,0.3707,86.5,11.9,36
09-015-007-459474,2021-12-13,0.355,76.8,1.1,157
09-015-007-459474,2022-01-12,0.3252,78.2,2.1,187
09-015-007-459474,2022-02-11,0.3611,79.5,3.2,217
09-015-007-459474,2022-03-13,0.3266,80.9,4.2,247
09-015-007-459474,2022-04-12,0.3205,82.2,5.3,277
27-013-023-059045,2024-07-12,0.5949,17.7,18.3,22
27-013-023-059045,2024-08-11,0.589,19.1,19.4,52
27-013-023-059045,2024-09-10,0.6283,20.4,20.4,82
27-013-023-059045,2024-10-10,0.5902,21.8,21.4,112
27-013-023-059045,2024-11-09,0.5989,23.1,22.5,142
22-014-023-503989,2023-10-22,0.5066,23.1,8.7,1
22-014-023-503989,2023-11-21,0.5146,24.4,9.8,1
22-014-023-503989,2023-12-21,0.5162,25.8,10.8,19
22-014-023-503989,2024-01-20,0.5356,27.1,11.8,49
22-014-023-503989,2024-02-19,0.5179,28.5,12.9,79
29-022-004-218882,2022-04-03,0.7556,2.8,15.6,1
29-022-004-218882,2022-05-03,0.7732,4.1,16.6,1
29-022-004-218882,2022-06-02,0.7153,5.5,17.7,7
29-022-004-218882,2022-07-02,0.7256,6.8,18.8,37
29-022-004-218882,2022-08-01,0.6745,8.2,19.8,67
21-026-011-280692,2020-12-23,0.4851,75.3,38.1,221
21-026-011-280692,2021-01-22,0.5052,76.7,39.1,251
21-026-011-280692,2021-02-21,0.5482,78.0,40.2,281
21-026-011-280692,2021-03-23,0.555,79.4,41.2,311
21-026-011-280692,2021-04-22,0.583,80.7,42.3,341
09-015-022-331393,2024-04-14,0.3029,55.4,12.6,1
09-015-022-331393,2024-05-14,0.2644,56.8,13.7,1
09-015-022-331393,2024-06-13,0.3262,58.1,14.7,1
09-015-022-331393,2024-07-13,0.3129,59.4,15.8,1
09-015-022-331393,2024-08-12,0.3265,60.8,16.8,18
21-019-013-994290,2023-09-18,0.3203,83.1,60.2,1
21-019-013-994290,2023-10-18,0.3446,84.5,61.3,1
21-019-013-994290,2023-11-17,0.3151,85.8,62.3,27
21-019-013-994290,2023-12-17,0.3785,87.2,63.4,57
21-019-013-994290,2024-01-16,0.3572,88.5,64.4,87
22-002-014-342105,2025-08-27,0.518,35.4,48.7,1
22-002-014-342105,2025-09-26,0.5033,36.8,49.8,1
22-002-014-342105,2025-10-26,0.5323,38.1,50.8,1
22-002-014-342105,2025-11-25,0.5636,39.4,51.9,23
22-002-014-342105,2025-12-25,0.5319,40.8,52.9,53
27-001-003-373557,2021-04-06,0.6185,37.2,9.0,204
27-001-003-373557,2021-05-06,0.6124,38.6,10.0,234
27-001-003-373557,2021-06-05,0.5402,39.9,11.1,264
27-001-003-373557,2021-07-05,0.5511,41.2,12.1,294
27-001-003-373557,2021-08-04,0.5385,42.6,13.2,324
33-023-005-660187,2025-04-20,0.9153,13.2,63.0,1
33-023-005-660187,2025-05-20,0.7685,14.6,64.0,1
33-023-005-660187,2025-06-19,0.7092,15.9,65.1,19
33-023-005-660187,2025-07-19,0.6551,17.2,66.2,49
33-023-005-660187,2025-08-18,0.5624,18.6,67.2,79
