ulpin,project_name,project_type,implementing_agency,state,district,taluk,village,latitude,longitude,notification_date,expected_completion_date,actual_completion_date,land_area_acres,no_affected_families,no_landowners,ownership_fragmentation_index,ownership_dispute_flag,no_ownership_disputes,title_clarity_status,circle_rate_per_acre_lakhs,compensation_fair_value_lakhs,compensation_amount_sanctioned_lakhs,compensation_amount_disbursed_lakhs,compensation_disbursed_pct,compensation_gap_pct,compensation_dispute_flag,no_compensation_appeals,no_legal_disputes,legal_dispute_stage,court_stay_flag,days_since_dispute_filed,rehab_plan_approved_flag,rehab_progress_pct,resettlement_site_ready_flag,no_families_resettled,approval_stage,days_in_current_stage,no_pending_clearances,environmental_clearance_status,forest_clearance_status,is_closed_project,historical_delay_days,is_delayed,delay_stage,assigned_field_officer_id,latent_risk_audit,planned_duration_days,top_driver_audit
27-001-017-023647,Urban Metro - Mumbai Suburban Stretch 3,Urban Metro,Metro Rail Corp,Maharashtra,Mumbai Suburban,Mumbai Suburban East,Peddapalli,19.27356,72.85216,2020-09-07,2022-05-01,2022-10-14,59.5,119,89,1.496,True,1,Clear,88.72,10557.68,8605.23,5077.09,59.0,18.49,True,1,1,Stayed by Court,True,14,True,63.4,True,70,R&R Implementation,619,2,Applied,Obtained,True,166,True,Administrative Approval,MH-LAO-2022-0603,0.5291,601,Administrative Approval
36-027-017-419778,Railway Line - Nizamabad Stretch 3,Railway Line,Indian Railways,Telangana,Nizamabad,Nizamabad East,Peddapalli,18.70316,77.95651,2022-03-10,2024-12-02,2024-12-02,90.6,219,136,1.501,False,0,Clear,25.95,9404.28,5932.38,1601.74,27.0,36.92,True,4,1,Stayed by Court,True,138,False,28.0,True,54,Compensation Disbursement,145,4,Not Required,Not Required,True,0,False,Not Applicable,TG-LAO-2021-0135,0.4613,998,Compensation Disbursal
27-001-024-213539,Railway Line - Mumbai Suburban Stretch 4,Railway Line,Indian Railways,Maharashtra,Mumbai Suburban,Mumbai Suburban West,Zamania,19.23766,72.8959,2019-12-05,2021-04-20,2021-04-20,50.9,106,85,1.67,True,3,Disputed,67.08,6828.74,5251.41,3156.1,60.1,23.1,True,3,5,Filed,False,1159,True,86.8,False,78,Possession Taken,40,0,Not Required,Applied,True,0,False,Not Applicable,MH-LAO-2022-0603,0.4509,502,Ownership / Title
36-019-021-048525,Urban Metro - Karimnagar Stretch 3,Urban Metro,Metro Rail Corp,Telangana,Karimnagar,Karimnagar West,Uttanahalli,18.60555,79.15849,2021-04-23,2023-09-19,2023-09-19,57.8,82,77,1.332,False,0,Partial,18.5,4277.2,3474.24,2237.41,64.4,18.77,True,2,1,Filed,False,26,True,39.9,True,24,R&R Implementation,42,0,Not Required,Not Required,True,0,False,Not Applicable,TG-LAO-2024-0235,0.3305,879,Rehabilitation (R&R)
23-016-010-430888,Irrigation Canal - Indore Stretch 4,Irrigation Canal,State Irrigation Dept,Madhya Pradesh,Indore,Indore South,Mallapuram,22.81365,75.90715,2022-11-12,2024-11-24,2025-09-15,33.8,76,54,1.598,True,1,Partial,90.48,6116.45,2963.63,429.73,14.5,51.55,True,4,3,Under Hearing,False,263,True,60.4,True,36,Possession Taken,3,0,Pending,Pending,True,295,True,Compensation Disbursal,MP-LAO-2021-0254,0.5967,743,Compensation Disbursal
33-045-015-628192,Irrigation Canal - Tiruchirappalli Stretch 6,Irrigation Canal,State Irrigation Dept,Tamil Nadu,Tiruchirappalli,Tiruchirappalli East,Madhavgarh,10.644,78.64777,2021-12-18,2024-07-19,2025-01-29,33.8,100,56,1.657,False,0,Partial,30.03,4060.06,2365.89,1980.25,83.7,41.73,True,3,4,Filed,False,246,False,35.5,False,34,Section 11 Notification Issued,47,5,Not Required,Obtained,True,194,True,Legal Dispute,TN-LAO-2022-0490,0.5583,944,Legal Dispute
21-005-019-903819,Airport Expansion - Khordha Stretch 3,Airport Expansion,Airports Authority of India,Odisha,Khordha,Khordha West,Shivnagar,20.29884,85.68628,2023-12-08,2025-10-28,2025-10-28,60.9,85,86,1.412,False,0,Clear,10.16,2474.98,1676.27,678.89,40.5,32.27,True,2,1,Under Hearing,False,372,True,41.1,True,28,Possession Taken,52,0,Obtained,Not Required,True,0,False,Not Applicable,OD-LAO-2022-0873,0.3531,690,Compensation Disbursal
29-009-002-628978,Industrial Corridor - Tumakuru Stretch 8,Industrial Corridor,State Industrial Corp,Karnataka,Tumakuru,Tumakuru North,Kothapalli,13.32768,77.03386,2020-09-18,2022-08-20,2022-11-17,20.6,45,32,1.553,True,2,Clear,29.44,2425.86,1216.8,226.32,18.6,49.84,True,3,2,Stayed by Court,True,95,True,33.5,False,12,Section 11 Notification Issued,84,0,Applied,Obtained,True,89,True,Compensation Disbursal,KA-LAO-2023-0611,0.5561,701,Compensation Disbursal
36-019-003-782215,Railway Line - Karimnagar Stretch 5,Railway Line,Indian Railways,Telangana,Karimnagar,Karimnagar North,Ganeshpura,18.58245,79.11355,2023-06-26,2025-03-18,2025-07-15,34.2,59,55,1.608,True,2,Clear,25.13,3437.78,1557.74,637.12,40.9,54.69,True,2,2,Stayed by Court,True,204,True,37.7,True,18,SIA Completed,23,1,Not Required,Not Required,True,119,True,Legal Dispute,TG-LAO-2024-0235,0.5861,631,Legal Dispute
22-009-021-451815,Airport Expansion - Durg Stretch 6,Airport Expansion,Airports Authority of India,Chhattisgarh,Durg,Durg West,Uttanahalli,21.22735,81.21121,2020-04-06,2022-09-21,2023-05-02,7.0,22,16,2.286,True,2,Clear,27.59,772.52,422.38,193.87,45.9,45.32,True,2,3,Under Hearing,False,312,False,18.0,False,3,Possession Taken,198,0,Pending,Obtained,True,223,True,Legal Dispute,CG-LAO-2024-0988,0.5831,898,Legal Dispute
23-028-014-694966,Urban Metro - Jabalpur Stretch 3,Urban Metro,Metro Rail Corp,Madhya Pradesh,Jabalpur,Jabalpur East,Lakshmipura,23.09966,79.99915,2023-05-21,2025-01-30,2025-04-21,101.5,252,134,1.32,True,2,Disputed,11.42,4636.52,3470.16,2446.46,70.5,25.16,True,2,3,Under Hearing,False,167,True,28.9,False,62,R&R Implementation,433,2,Not Required,Not Required,True,81,True,Legal Dispute,MP-LAO-2022-0917,0.5465,620,Legal Dispute
33-014-020-266749,Urban Metro - Chennai Stretch 7,Urban Metro,Metro Rail Corp,Tamil Nadu,Chennai,Chennai West,Tarapur,13.18521,80.28188,2021-05-15,2023-08-01,2024-02-26,30.3,66,39,1.287,True,2,Clear,93.73,5680.04,4193.99,1472.09,35.1,26.16,True,1,2,Resolved,False,241,False,15.9,False,9,Section 11 Notification Issued,46,2,Pending,Not Required,True,209,True,Rehabilitation (R&R),TN-LAO-2021-0562,0.5699,808,Rehabilitation (R&R)
33-023-003-347613,Industrial Corridor - Coimbatore Stretch 8,Industrial Corridor,State Industrial Corp,Tamil Nadu,Coimbatore,Coimbatore North,Ganeshpura,11.09861,76.95163,2021-02-15,2023-11-08,2024-01-15,58.7,126,74,1.261,True,1,Clear,19.09,4482.33,1744.07,804.02,46.1,61.09,True,9,1,Filed,False,5,True,58.2,False,62,Section 11 Notification Issued,70,4,Pending,Not Required,True,68,True,Administrative Approval,TN-LAO-2024-0163,0.5119,996,Administrative Approval
21-019-019-960921,Airport Expansion - Ganjam Stretch 3,Airport Expansion,Airports Authority of India,Odisha,Ganjam,Ganjam West,Shivnagar,19.37597,84.75324,2019-07-04,2020-09-05,2021-10-14,50.3,106,72,1.431,True,7,Disputed,31.18,6273.42,2822.31,1363.18,48.3,55.01,True,7,5,Under Hearing,False,95,False,25.7,False,25,R&R Implementation,50,2,Not Required,Applied,True,404,True,Ownership / Title,OD-LAO-2025-0784,0.756,429,Ownership / Title
23-033-020-446058,Railway Line - Gwalior Stretch 6,Railway Line,Indian Railways,Madhya Pradesh,Gwalior,Gwalior West,Tarapur,26.09205,78.1992,2022-08-15,2024-01-09,2024-01-09,100.3,323,175,1.745,False,0,Clear,14.11,5660.93,4065.37,3170.99,78.0,28.19,True,2,2,Filed,False,179,True,17.7,True,45,Possession Taken,119,2,Obtained,Pending,True,0,False,Not Applicable,MP-LAO-2024-0467,0.392,512,Rehabilitation (R&R)
33-031-017-145427,Urban Metro - Madurai Stretch 6,Urban Metro,Metro Rail Corp,Tamil Nadu,Madurai,Madurai East,Peddapalli,9.92035,78.19168,2020-03-25,2021-06-22,2021-06-22,88.5,143,138,1.559,True,2,Disputed,29.05,10283.7,9659.63,6385.02,66.1,6.07,True,1,2,Filed,False,30,False,7.9,False,9,R&R Implementation,47,3,Applied,Applied,True,0,False,Not Applicable,TN-LAO-2021-0436,0.3843,454,Rehabilitation (R&R)
36-003-020-490577,Urban Metro - Hyderabad Stretch 6,Urban Metro,Metro Rail Corp,Telangana,Hyderabad,Hyderabad West,Tarapur,17.42291,78.58604,2022-06-23,2024-08-04,2024-08-04,35.9,94,60,1.671,True,3,Partial,61.94,4447.29,4061.16,1080.27,26.6,8.68,False,0,0,None,False,0,True,40.6,False,37,Possession Taken,3,0,Not Required,Not Required,True,0,False,Not Applicable,TG-LAO-2025-0884,0.227,773,Ownership / Title
36-003-012-771038,National Highway - Hyderabad Stretch 7,National Highway,NHAI,Telangana,Hyderabad,Hyderabad South,Jaitpur,17.44538,78.47101,2022-09-14,2024-12-05,2024-12-05,60.7,89,85,1.4,False,0,Clear,78.3,9505.62,8405.07,4202.53,50.0,11.58,True,2,1,Under Hearing,False,32,True,54.9,True,38,Compensation Disbursement,28,2,Pending,Applied,True,0,False,Not Applicable,TG-LAO-2025-0884,0.3941,813,Administrative Approval
21-019-024-663726,Irrigation Canal - Ganjam Stretch 8,Irrigation Canal,State Irrigation Dept,Odisha,Ganjam,Ganjam West,Zamania,19.48628,84.82528,2021-09-30,2023-08-13,2024-01-18,63.9,91,94,1.471,True,2,Clear,9.41,2405.2,1630.65,1002.85,61.5,32.2,True,5,2,Stayed by Court,True,379,False,21.4,True,15,Compensation Disbursement,57,0,Applied,Not Required,True,158,True,Legal Dispute,OD-LAO-2025-0784,0.501,682,Legal Dispute
36-011-012-262871,Power Transmission - Warangal Stretch 6,Power Transmission,POWERGRID,Telangana,Warangal,Warangal South,Jaitpur,17.784,79.61022,2020-03-05,2021-12-28,2021-12-28,4.0,9,8,2.0,False,0,Clear,22.33,357.28,286.01,178.47,62.4,19.95,False,0,1,Under Hearing,False,917,True,71.2,False,6,SIA Completed,34,5,Obtained,Not Required,True,0,False,Not Applicable,TG-LAO-2021-0919,0.332,663,Administrative Approval
29-022-024-239792,National Highway - Belagavi Stretch 6,National Highway,NHAI,Karnataka,Belagavi,Belagavi West,Zamania,15.74844,74.54763,2022-01-01,2023-05-15,2023-05-30,37.8,91,62,1.64,True,2,Partial,24.91,3766.39,2778.94,1164.38,41.9,26.22,True,4,3,Under Hearing,False,697,True,89.4,False,66,Award Declared,116,3,Pending,Not Required,True,15,False,Not Applicable,KA-LAO-2025-0488,0.4835,499,Administrative Approval
33-045-010-090659,Urban Metro - Tiruchirappalli Stretch 2,Urban Metro,Metro Rail Corp,Tamil Nadu,Tiruchirappalli,Tiruchirappalli South,Mallapuram,10.82326,78.70784,2020-07-31,2023-03-08,2023-03-08,61.2,154,98,1.601,True,1,Clear,8.79,2151.79,1678.51,1472.05,87.7,21.99,True,2,1,Stayed by Court,True,57,True,11.7,True,17,R&R Implementation,176,0,Not Required,Pending,True,0,False,Not Applicable,TN-LAO-2022-0490,0.3411,950,Rehabilitation (R&R)
33-023-009-270578,National Highway - Coimbatore Stretch 4,National Highway,NHAI,Tamil Nadu,Coimbatore,Coimbatore South,Basavanahalli,11.02117,77.04249,2020-01-01,2022-05-24,2022-05-24,36.8,62,54,1.467,False,0,Clear,12.02,1769.34,1660.61,1459.68,87.9,6.15,True,2,0,None,False,0,False,23.7,False,11,Award Declared,223,2,Obtained,Not Required,True,0,False,Not Applicable,TN-LAO-2024-0163,0.124,874,Rehabilitation (R&R)
36-027-010-345877,Industrial Corridor - Nizamabad Stretch 5,Industrial Corridor,State Industrial Corp,Telangana,Nizamabad,Nizamabad South,Mallapuram,18.64515,78.14542,2022-09-26,2024-07-12,2024-11-26,15.7,34,19,1.21,True,3,Partial,17.43,1094.6,563.78,471.32,83.6,48.49,True,4,5,Filed,False,400,False,15.1,False,4,Award Declared,116,2,Obtained,Obtained,True,137,True,Legal Dispute,TG-LAO-2021-0135,0.6011,655,Legal Dispute
21-026-005-770237,Irrigation Canal - Sambalpur Stretch 6,Irrigation Canal,State Irrigation Dept,Odisha,Sambalpur,Sambalpur North,Sultanpur,21.47963,84.03294,2019-01-28,2020-05-23,2021-03-15,7.2,23,14,1.944,True,8,Disputed,25.77,742.18,465.76,425.24,91.3,37.24,True,4,4,Resolved,False,92,True,19.0,False,3,Award Declared,83,2,Obtained,Pending,True,296,True,Ownership / Title,OD-LAO-2024-0281,0.6812,481,Ownership / Title
21-005-020-076194,Airport Expansion - Khordha Stretch 6,Airport Expansion,Airports Authority of India,Odisha,Khordha,Khordha West,Tarapur,20.14714,85.60289,2023-07-04,2025-12-08,2026-02-08,22.9,50,31,1.354,True,7,Disputed,9.46,866.54,809.7,478.53,59.1,6.56,False,0,8,Stayed by Court,True,376,False,31.9,True,13,Possession Taken,4,2,Not Required,Applied,True,62,True,Legal Dispute,OD-LAO-2022-0873,0.5117,888,Legal Dispute
33-014-011-676436,State Highway - Chennai Stretch 4,State Highway,State PWD,Tamil Nadu,Chennai,Chennai South,Amrapur,13.14684,80.37272,2022-09-13,2024-08-25,2024-08-25,45.2,118,80,1.77,False,0,Clear,47.11,4258.74,3304.03,2990.15,90.5,22.42,True,4,2,Stayed by Court,True,145,True,10.0,True,9,Possession Taken,233,1,Applied,Obtained,True,0,False,Not Applicable,TN-LAO-2021-0562,0.3911,712,Legal Dispute
09-031-012-968801,Railway Line - Varanasi Stretch 1,Railway Line,Indian Railways,Uttar Pradesh,Varanasi,Varanasi South,Jaitpur,25.3691,82.88564,2020-10-08,2022-12-26,2022-12-26,33.7,89,48,1.424,True,3,Partial,31.01,4180.15,3498.44,2462.9,70.4,16.31,True,3,1,Resolved,False,17,False,27.6,False,17,Compensation Disbursement,196,4,Not Required,Not Required,True,0,False,Not Applicable,UP-LAO-2025-0822,0.3382,809,Rehabilitation (R&R)
36-011-010-433055,State Highway - Warangal Stretch 6,State Highway,State PWD,Telangana,Warangal,Warangal South,Mallapuram,17.87368,79.56165,2022-08-06,2023-10-28,2024-01-05,35.3,94,55,1.558,True,2,Partial,26.92,3801.1,2076.15,791.01,38.1,45.38,True,3,3,Resolved,False,8,True,33.3,True,24,Award Declared,102,1,Obtained,Pending,True,69,True,Compensation Disbursal,TG-LAO-2021-0919,0.5263,448,Compensation Disbursal
09-044-011-783326,Urban Metro - Prayagraj Stretch 6,Urban Metro,Metro Rail Corp,Uttar Pradesh,Prayagraj,Prayagraj South,Amrapur,25.45036,81.90032,2019-10-17,2022-03-01,2022-03-01,19.3,61,34,1.762,False,0,Clear,25.65,1980.18,1484.92,736.52,49.6,25.01,True,4,2,Resolved,False,297,True,40.8,False,20,Compensation Disbursement,5,3,Not Required,Not Required,True,0,False,Not Applicable,UP-LAO-2023-0576,0.3423,866,Compensation Disbursal
27-037-023-175762,Irrigation Canal - Nashik Stretch 6,Irrigation Canal,State Irrigation Dept,Maharashtra,Nashik,Nashik West,Yellapur,19.9805,73.90982,2021-09-25,2023-03-08,2023-07-16,16.3,58,33,2.025,True,2,Clear,15.16,988.43,631.75,164.89,26.1,36.09,True,3,2,Under Hearing,False,99,False,30.9,True,14,Award Declared,3,2,Obtained,Obtained,True,130,True,Compensation Disbursal,MH-LAO-2025-0385,0.5999,529,Compensation Disbursal
09-002-018-066783,Irrigation Canal - Lucknow Stretch 1,Irrigation Canal,State Irrigation Dept,Uttar Pradesh,Lucknow,Lucknow East,Raghunathpur,26.81304,80.89683,2022-01-30,2023-11-26,2024-10-14,106.8,227,164,1.536,True,1,Partial,64.56,13790.02,9363.21,2050.54,21.9,32.1,True,1,3,Under Hearing,False,47,True,35.3,False,58,Compensation Disbursement,244,3,Not Required,Pending,True,323,True,Administrative Approval,UP-LAO-2021-0734,0.6194,665,Administrative Approval
33-045-018-544333,Railway Line - Tiruchirappalli Stretch 6,Railway Line,Indian Railways,Tamil Nadu,Tiruchirappalli,Tiruchirappalli East,Raghunathpur,10.74358,78.75035,2019-09-20,2021-07-04,2021-09-13,63.9,146,85,1.33,True,2,Partial,13.83,3534.95,2158.44,1551.92,71.9,38.94,True,2,3,Under Hearing,False,208,True,21.4,True,25,Award Declared,375,0,Pending,Obtained,True,71,True,Legal Dispute,TN-LAO-2022-0490,0.5415,653,Legal Dispute
36-003-014-168649,Railway Line - Hyderabad Stretch 7,Railway Line,Indian Railways,Telangana,Hyderabad,Hyderabad East,Lakshmipura,17.4513,78.45045,2020-02-26,2021-06-11,2021-08-24,36.0,64,49,1.361,True,1,Partial,58.51,4212.72,3235.06,892.88,27.6,23.21,True,4,1,Under Hearing,False,179,True,44.4,False,27,Compensation Disbursement,73,2,Applied,Not Required,True,74,True,Compensation Disbursal,TG-LAO-2025-0884,0.5047,471,Compensation Disbursal
22-018-016-872581,Railway Line - Korba Stretch 6,Railway Line,Indian Railways,Chhattisgarh,Korba,Korba East,Nandgaon,22.23463,82.73853,2022-10-27,2024-08-16,2025-06-20,24.2,45,38,1.57,True,2,Disputed,10.07,974.78,483.1,282.13,58.4,50.44,True,4,5,Filed,False,5,True,57.1,False,21,Award Declared,18,4,Obtained,Applied,True,308,True,Legal Dispute,CG-LAO-2024-0820,0.6554,659,Legal Dispute
23-033-008-121651,State Highway - Gwalior Stretch 4,State Highway,State PWD,Madhya Pradesh,Gwalior,Gwalior South,Narsapur,26.25676,78.07151,2020-04-14,2022-11-23,2022-11-23,13.3,19,18,1.353,False,0,Clear,19.0,1010.8,716.02,395.96,55.3,29.16,True,2,3,Under Hearing,False,822,True,72.2,True,13,R&R Implementation,111,1,Pending,Applied,True,0,False,Not Applicable,MP-LAO-2024-0467,0.3885,953,Legal Dispute
21-019-014-988271,State Highway - Ganjam Stretch 7,State Highway,State PWD,Odisha,Ganjam,Ganjam East,Lakshmipura,19.3187,84.73109,2023-10-12,2026-03-21,2026-03-21,55.2,125,96,1.739,False,0,Clear,17.16,3788.93,2646.65,1572.11,59.4,30.15,True,4,2,Resolved,False,171,True,32.8,False,40,Award Declared,52,1,Not Required,Applied,True,0,False,Not Applicable,OD-LAO-2025-0784,0.3566,891,Rehabilitation (R&R)
21-026-002-958256,State Highway - Sambalpur Stretch 5,State Highway,State PWD,Odisha,Sambalpur,Sambalpur North,Kothapalli,21.55587,84.12321,2020-08-04,2022-05-16,2022-05-16,44.6,55,62,1.39,True,1,Clear,27.73,4947.03,4092.9,2860.94,69.9,17.27,True,1,1,Stayed by Court,True,132,True,87.2,True,42,R&R Implementation,242,2,Applied,Obtained,True,0,False,Not Applicable,OD-LAO-2024-0281,0.2949,650,Legal Dispute
23-033-012-909547,Irrigation Canal - Gwalior Stretch 3,Irrigation Canal,State Irrigation Dept,Madhya Pradesh,Gwalior,Gwalior South,Jaitpur,26.37667,78.01722,2022-11-03,2024-06-14,2025-06-23,14.1,41,26,1.844,True,4,Disputed,25.32,1428.05,1133.5,374.06,33.0,20.63,True,3,4,Filed,False,802,True,33.1,False,11,Award Declared,9,1,Applied,Obtained,True,374,True,Ownership / Title,MP-LAO-2024-0467,0.6831,589,Ownership / Title
33-014-011-363947,State Highway - Chennai Stretch 4,State Highway,State PWD,Tamil Nadu,Chennai,Chennai South,Amrapur,13.15226,80.38077,2023-01-03,2025-06-15,2025-06-15,11.3,24,16,1.416,True,1,Clear,43.15,975.19,829.14,167.49,20.2,14.98,True,2,0,None,False,0,True,72.9,False,12,R&R Implementation,245,3,Not Required,Not Required,True,0,False,Not Applicable,TN-LAO-2021-0562,0.2717,894,Compensation Disbursal
36-019-015-490823,Railway Line - Karimnagar Stretch 5,Railway Line,Indian Railways,Telangana,Karimnagar,Karimnagar East,Madhavgarh,18.6283,79.26773,2023-04-01,2024-07-22,2025-10-14,16.1,35,22,1.366,True,3,Partial,27.68,1782.59,774.78,420.71,54.3,56.54,True,6,6,Stayed by Court,True,256,False,8.1,True,2,SIA Completed,63,4,Pending,Not Required,True,449,True,Legal Dispute,TG-LAO-2024-0235,0.8126,478,Legal Dispute
